AveragePolicySurr,QFunRegParamNorm,MinReturn,Epoch,MaxEsReturn,MaxReturn,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageQLoss,AverageEsReturn,Iteration,AverageQ,AverageAbsY,StdEsReturn,StdReturn,AverageReturn
-15.5715,27.2218,814.47713231,26,-152.335049175,977.525468892,-152.335049175,14.1352528786,21.2855,14.128,0.782489915717,0.0355226,96.5890128222,1.18649,-152.335049175,26,14.1278,14.1366523126,0.0,48.7550216981,931.678410525
-16.451,27.7513,802.602134258,27,-236.873205907,918.474125789,-236.873205907,15.0288099153,21.6809,15.0224,0.808455909915,0.0401753,95.4408526844,1.30461,-236.873205907,27,15.0221,15.0308802407,0.0,31.1006735263,867.942330307
-17.4046,28.32,738.710520663,28,6.67000808798,962.061848093,-120.762878402,15.9591585481,22.0434,15.9501,0.853655030108,0.0431579,95.5665691501,1.50417,-47.0904627695,28,15.9498,15.9613778875,53.8958829492,75.062711198,881.100771045
-18.2904,28.78,584.244753727,29,8.97244301877,1005.87389555,-81.3427801957,16.8750484878,22.4268,16.8665,0.856562310777,0.0730515,95.1052318411,1.47698,-36.1851685885,29,16.8663,16.8769596912,45.1576116072,170.159191201,809.942177923
-19.135,29.2637,857.451498133,30,-214.024988904,1125.14864924,-214.024988904,17.7604594513,22.7569,17.7521,0.860264243316,0.0567582,100.424926174,1.50095,-214.024988904,30,17.7521,17.7621521176,0.0,100.700265364,987.46941336
-20.0429,29.7853,764.109026667,31,-14.1401566575,1022.76125889,-235.446237396,18.6194123539,23.1066,18.6123,0.903164072657,0.0659219,97.1359532446,1.7157,-92.7467154649,31,18.6123,18.6215722483,85.7690754551,73.2747441887,853.902258208
-20.9626,30.2365,409.981756773,32,-284.669856243,979.379531136,-284.669856243,19.5227527624,23.4217,19.5148,0.920178770522,0.0502625,98.8590215006,1.73883,-284.669856243,32,19.5146,19.5254351983,0.0,172.590913402,838.406501553
-21.8658,30.663,85.7232236813,33,-169.003734204,946.776923309,-169.003734204,20.4245013278,23.7125,20.4172,0.928303740148,0.0641089,87.6791280857,1.76122,-169.003734204,33,20.4169,20.4257295669,0.0,323.280367436,684.83469803
-22.6797,31.0939,736.164548223,34,-17.4856777078,1082.2552074,-252.135383422,21.2696983666,24.0272,21.2604,0.930576469724,0.0639563,106.929466157,1.79707,-134.810530565,34,21.2601,21.271204466,117.324852857,104.109940583,898.879180215
-23.5315,31.5672,824.670046522,35,-47.8848438436,1025.1173009,-279.399435868,22.1193610389,24.3432,22.1112,0.948698418635,0.0612547,102.571361894,1.96454,-163.642139856,35,22.1109,22.1214357701,115.757296012,51.9011346412,910.256580663
-24.3698,31.9847,760.086534641,36,-225.63412201,1000.01081822,-225.63412201,22.9634944256,24.6514,22.9558,0.957665001459,0.0547984,94.8840784364,1.94898,-225.63412201,36,22.9558,22.9650367571,0.0,72.6233352746,888.634305432
-25.2459,32.3813,561.23993695,37,-42.6856577059,934.402658304,-42.6856577059,23.8290851644,24.9399,23.82,0.984196300035,0.0668958,90.8580511521,2.12842,-42.6856577059,37,23.8199,23.8312528198,0.0,91.2825719091,826.580303491
-26.02,32.8048,824.94338598,38,28.9365273283,942.7706442,-218.81547733,24.6085358276,25.2165,24.601,1.00144027056,0.0553945,91.5644084798,2.10628,-95.0488214986,38,24.601,24.6103171648,101.144450575,30.3372420861,883.333883033
-26.8935,33.1355,837.463612794,39,-37.4769885717,1004.90716645,-79.8892700389,25.4933558668,25.522,25.4834,0.992177095219,0.0580955,103.300515619,2.07941,-58.6831293053,39,25.4833,25.4943254552,21.2061407336,48.9858135956,907.382735964
-27.6768,33.4899,323.889757703,40,-14.2565574351,914.502957262,-107.779102138,26.3163840456,25.7691,26.3088,1.03095312012,0.0553696,96.6143779127,2.26071,-61.0178297865,40,26.3087,26.3180477859,46.7612723513,155.243187865,796.06002759
-28.4567,33.8292,769.593942778,41,-4.79873159515,972.298537706,-58.8733293004,27.085283227,26.0428,27.0777,1.02068178857,0.0599752,97.6165670312,2.266,-33.4403458879,41,27.077,27.0873946094,22.5400261997,62.3167717399,854.735787126
-29.1861,34.1892,861.141614331,42,-218.711243165,905.402013427,-218.711243165,27.8413924204,26.2638,27.8339,1.04266104436,0.0435972,87.1692189513,2.46879,-218.711243165,42,27.8338,27.8427933105,0.0,11.9655350104,882.68315073
-29.9529,34.538,13.0791508188,43,13.5004330308,980.937328398,-195.942641603,28.5780615318,26.5148,28.5706,1.04479370007,0.0517981,88.0072102909,2.45008,-68.0592503662,43,28.5706,28.5798815569,77.6167884777,309.313871249,760.214937725
-30.6773,34.874,244.185328926,44,-95.2231136838,1094.47189549,-95.2231136838,29.3138155954,26.755,29.3055,1.07974445389,0.0502154,96.8744440717,2.64242,-95.2231136838,44,29.3055,29.3156222991,0.0,225.222034749,912.843575051
-31.4284,35.217,772.614536027,45,-6.81865318643,1006.26792971,-246.765531971,30.0611458174,27.0473,30.0522,1.07780990231,0.0621822,112.407461969,2.59843,-126.792092579,45,30.0515,30.0631426376,119.973439393,70.3588519706,863.918243278
-32.1646,35.5217,234.206523136,46,-44.5788722948,904.499865423,-149.187553934,30.812759827,27.284,30.8047,1.08008549529,0.0586484,92.5173663505,2.58697,-96.8832131142,46,30.8046,30.8142451792,52.3043408194,179.270004508,795.178149345
-32.9053,35.8601,856.963541428,47,-56.8689595385,994.683797133,-56.8689595385,31.5377171971,27.493,31.5311,1.10101906533,0.0476382,103.626115014,2.77793,-56.8689595385,47,31.5308,31.5390347569,0.0,42.4849712175,932.868665834
-33.6473,36.2119,27.8867389187,48,8.59062978682,834.653510535,-201.818661348,32.2691437529,27.7153,32.2612,1.12277464368,0.0775419,75.7858670332,2.9242,-46.2514782434,48,32.261,32.2705790139,66.3668586467,272.854600054,650.779442734
-34.3509,36.5199,663.857505708,49,-6.33108983034,750.530543982,-89.3218546032,32.9982625424,27.9469,32.9908,1.14157318536,0.0770504,87.8168639384,3.15038,-47.8264722168,49,32.9908,32.9997377142,41.4953823864,23.5344976549,706.395994307
-35.1108,36.8422,727.046830628,50,-232.787915488,935.319874213,-232.787915488,33.6909598513,28.1435,33.6844,1.1185188028,0.0620399,89.9543721377,2.96655,-232.787915488,50,33.6825,33.6931384036,0.0,61.5323699997,851.73687891
-35.8001,37.1604,62.6733027556,51,-258.380437039,833.975976832,-258.380437039,34.4122093,28.3814,34.4035,1.13034268102,0.0794905,78.1903337244,2.92243,-258.380437039,51,34.4023,34.4138143114,0.0,253.796409688,647.07654707
-36.5062,37.4381,205.891156673,52,-45.7149140586,874.964775574,-260.010917822,35.1283377057,28.5996,35.125,1.13389911355,0.0654144,85.0335964962,2.96181,-128.59634484,52,35.1214,35.1300730952,93.9762158778,199.658755271,731.298933717
-37.1659,37.8262,300.737815146,53,-235.134747761,951.206303798,-235.134747761,35.8121421645,28.8531,35.8053,1.15339377783,0.0630461,91.4546591122,3.02951,-235.134747761,53,35.8034,35.8149175934,0.0,175.843485634,756.903810056
-37.8994,38.0804,409.382686686,54,-173.769202329,940.401571894,-173.769202329,36.5231854704,29.0643,36.5178,1.13261426978,0.0657033,92.7901739789,2.93767,-173.769202329,54,36.5159,36.5250557386,0.0,151.746301456,803.265613942
-38.5128,38.4085,105.810966403,55,31.6689799788,983.550097229,-264.414476503,37.1507548862,29.3364,37.1444,1.16355976158,0.0956036,86.0953895289,3.06717,-75.4355314501,55,37.1416,37.1539337009,103.534851361,242.268827519,687.650371727
-39.2171,38.676,167.431777302,56,-5.78698778552,815.507046637,-214.996371156,37.8569098227,29.5108,37.8526,1.16265046574,0.0696162,75.1798058816,3.29612,-90.4681675734,56,37.8509,37.858934968,89.9369427307,235.346267088,638.452499316
-39.8157,38.9627,233.39077347,57,-200.211491429,988.186069862,-200.211491429,38.4674655637,29.6874,38.4613,1.16254630921,0.0588911,93.4923179321,3.21371,-200.211491429,57,38.4586,38.4706468063,0.0,188.877691218,803.385327721
-40.4537,39.2345,339.273728229,58,-267.261781064,893.434663138,-267.261781064,39.105021844,29.8823,39.1045,1.17477834183,0.0725734,83.4235005265,3.4112,-267.261781064,58,39.098,39.1090731394,0.0,148.889334675,787.466729042
-41.1374,39.4899,145.385972743,59,-149.887254877,913.810963496,-149.887254877,39.7871943108,30.0529,39.7811,1.18647058687,0.0681301,80.9177991145,3.43412,-149.887254877,59,39.7769,39.7899899167,0.0,256.577268231,674.631141969
-41.7324,39.7764,726.481683164,60,-7.59063428658,992.539560088,-271.97984715,40.4040458454,30.2749,40.404,1.19908318245,0.0714252,92.5961969715,3.54694,-139.785240718,60,40.3985,40.4071304363,132.194606432,89.1010775839,848.790002078
-42.3247,40.1009,589.380315,61,1.66616828658,873.277696595,-113.700717802,40.9789660803,30.4863,40.9744,1.1985073616,0.0965602,83.4917565348,3.45764,-43.5450703417,61,40.9704,40.9821838626,42.6536455549,83.4177208572,784.916567852
-42.9866,40.3082,849.160521624,62,3.52409780354,909.451880264,-144.551595364,41.6522670056,30.7095,41.6476,1.18729109186,0.0574719,90.543922707,3.49267,-70.5137487803,62,41.6449,41.654017827,74.0378465838,18.3336118665,877.773456807
-43.5662,40.6217,698.818679415,63,-19.6349070418,916.636089165,-214.400481407,42.2401791143,30.9173,42.2365,1.20937131464,0.0726954,92.5328868936,3.67952,-117.017694225,63,42.2308,42.2440052003,97.3827871828,71.8123052236,837.497716398
-44.0517,40.862,332.374860975,64,-10.4142177033,944.763177416,-198.812629505,42.750639336,31.1077,42.7513,1.20803312264,0.0718997,94.842628863,3.71853,-77.4418513521,64,42.7448,42.7551915422,85.9781887392,163.627594322,838.976288363
-44.6852,41.1056,744.605481767,65,-200.922754595,869.051477509,-200.922754595,43.3882799471,31.3027,43.3856,1.21841814489,0.0650038,84.3795954596,3.72728,-200.922754595,65,43.3806,43.3911849486,0.0,45.2292518851,817.07262157
-45.1943,41.311,589.301013777,66,-220.004103718,750.567987712,-220.004103718,43.8817616741,31.5086,43.8837,1.19924840793,0.0927981,70.2291778934,3.65246,-220.004103718,66,43.8752,43.8852044489,0.0,44.570608407,652.085108407
-45.7938,41.5738,697.470750294,67,-292.577674943,849.419037686,-292.577674943,44.4477183223,31.6656,44.4447,1.18863206615,0.0602865,77.4970728049,3.70187,-292.577674943,67,44.4393,44.4501081459,0.0,39.5320840957,799.540000765
-46.3586,41.7866,69.9142529047,68,-2.15331231026,628.453622031,-245.146555999,45.02762921,31.8679,45.0321,1.20075782101,0.101656,62.00781261,3.63755,-123.649934154,68,45.0218,45.0327841087,121.496621844,150.616976801,544.010799932
-46.9356,42.0893,698.879102569,69,-257.692673315,745.92822339,-270.061043187,45.5929428965,32.0179,45.5894,1.17593677977,0.0731242,75.3498738246,3.43586,-263.876858251,69,45.5842,45.5957472049,6.18418493626,17.6679919587,723.07295751
-47.4858,42.3646,652.47136271,70,-123.422241857,824.916767749,-161.86279246,46.1510324998,32.2434,46.1515,1.20146434031,0.0613448,72.1712053805,3.72893,-142.642517158,70,46.1449,46.1540973143,19.2202753015,57.9250176028,751.551496588
-48.0148,42.5554,418.804584124,71,-164.447534776,951.958654996,-164.447534776,46.6950309612,32.4679,46.6909,1.17399204067,0.0593994,91.8877968262,3.62605,-164.447534776,71,46.6867,46.6972331593,0.0,140.666464723,820.844971057
-48.5406,42.8051,585.836094067,72,1.52633553832,737.473186012,-106.275996433,47.1881842322,32.6358,47.1865,1.2129142191,0.0852069,77.153745508,4.07578,-52.3748304473,72,47.1806,47.1915924426,53.9011659856,47.9722243547,688.599071291
-49.0527,43.0609,688.906241318,73,-277.190188202,796.982536647,-322.177967311,47.7229554663,32.7792,47.722,1.20534795899,0.0803071,74.8615890358,3.83707,-299.684077757,73,47.7169,47.7266557066,22.4938895545,28.1532830072,721.577672766
-49.5016,43.3339,100.161732119,74,-67.2195058119,812.475948646,-67.2195058119,48.1734217636,32.9536,48.1747,1.20742964031,0.0796016,74.370751963,3.88773,-67.2195058119,74,48.1673,48.1749692295,0.0,181.731176624,658.058983391
-50.0323,43.5426,671.676374681,75,-274.458191397,793.594082935,-274.458191397,48.6998864492,33.1111,48.6994,1.19272588324,0.0861971,82.7399747278,3.79181,-274.458191397,75,48.693,48.7019428321,0.0,35.5434916591,712.128582206
-50.4638,43.7996,733.742056163,76,-342.733142283,891.922400366,-342.733142283,49.1344930336,33.2862,49.1341,1.18258662409,0.0634528,87.6983409098,3.69916,-342.733142283,76,49.128,49.1367671253,0.0,42.8558832433,838.395160911
-50.9632,44.1009,741.304201923,77,-247.846973299,799.180797156,-247.846973299,49.6367171225,33.4805,49.637,1.2351764095,0.0626452,84.1893737826,4.09139,-247.846973299,77,49.6295,49.6400001872,0.0,23.2441152944,765.608498733
-51.4785,44.3435,771.005376015,78,-17.2821098946,898.048994278,-309.418641275,50.12463801,33.6686,50.1251,1.25380577837,0.056696,85.2956248403,4.34169,-105.924958888,78,50.1174,50.127525929,111.934521151,37.6384506831,823.589324472
-52.0671,44.5886,665.045298843,79,-33.5493913657,841.46082807,-33.5493913657,50.6791072619,33.8721,50.6749,1.23092678052,0.0946536,76.2134083991,4.18642,-33.5493913657,79,50.6701,50.68137476,0.0,47.9367490579,745.579201614
-52.5974,44.8134,688.816102104,80,-195.392254915,799.885605946,-215.501775703,51.2100138862,34.0303,51.2139,1.21899663884,0.0773379,68.6808493953,4.05927,-205.447015309,80,51.2026,51.2125084185,10.054760394,40.398140904,749.961583101
-53.0945,45.0612,652.864622805,81,-199.836891881,824.22825729,-199.836891881,51.7225396922,34.1646,51.722,1.2059931504,0.0619826,73.9517661166,3.70714,-199.836891881,81,51.7176,51.7250158154,0.0,57.5357300525,750.747875889
-53.6652,45.3301,631.204687031,82,-49.4231297276,845.362878698,-49.4231297276,52.2762631044,34.3616,52.273,1.22962542787,0.0638182,81.8186293044,4.19303,-49.4231297276,82,52.2683,52.2786961523,0.0,66.5307903337,754.526261447
-54.2452,45.5942,605.508751608,83,-150.073554777,750.220613889,-319.223379851,52.8211824155,34.4806,52.8218,1.23921177115,0.0872654,71.5978572173,4.17501,-234.648467314,83,52.8144,52.8232211282,84.5749125369,55.8020630484,680.950005367
-54.7176,45.8439,656.899105916,84,-1.60270183904,812.105504789,-47.6279907305,53.3502519528,34.6547,53.3521,1.25478693277,0.0690185,81.2444507704,4.25298,-24.6153462848,84,53.3439,53.3542685439,23.0126444457,51.4066325101,753.131268748
-55.261,46.0409,662.436511302,85,-1.44842370487,827.189975318,-156.741087196,53.8780393559,34.8385,53.8824,1.26303745129,0.0638071,78.7841479464,4.55132,-58.945777412,85,53.8709,53.8818659428,69.5072983292,63.9428193743,755.460936446
-55.8097,46.3183,732.050414472,86,-192.973663491,1000.99692439,-192.973663491,54.411636804,34.9553,54.4124,1.26576752218,0.0736798,89.4414649484,4.70831,-192.973663491,86,54.4047,54.4161491048,0.0,92.4600529236,901.849210423
-56.3435,46.5628,616.963765515,87,-260.331809635,831.346620479,-260.331809635,54.9376635543,35.099,54.9433,1.26079214714,0.0867453,77.4910458316,4.79387,-260.331809635,87,54.9302,54.943238866,0.0,59.1667216947,677.490255601
-56.8772,46.7574,101.361464144,88,-258.15544267,963.820382474,-258.15544267,55.432586969,35.2385,55.4317,1.24245658747,0.0883326,80.7137267481,4.30962,-258.15544267,88,55.4267,55.4359285366,0.0,240.776451876,676.139133082
-57.4683,46.9665,599.929138834,89,-252.046214353,712.550984037,-252.046214353,55.9805635391,35.3905,55.9873,1.27496585505,0.0856558,70.4482748595,4.76885,-252.046214353,89,55.9747,55.9857618841,0.0,27.0086969167,661.250302573
-58.0652,47.2433,718.404999339,90,-200.726269932,863.338747838,-200.726269932,56.5969684013,35.5452,56.5948,1.26763957841,0.0570167,78.5747579881,4.6019,-200.726269932,90,56.5887,56.6023174838,0.0,59.716282321,769.764857535
-58.5438,47.4317,735.035405511,91,-191.63223825,835.167032072,-262.493314256,57.0616212042,35.7009,57.0683,1.28480943798,0.0823539,80.6687021233,4.84369,-227.062776253,91,57.0566,57.0648366432,35.4305380026,33.4128373764,760.798968746
-59.1411,47.6471,768.208320163,92,-287.722648579,935.979656598,-287.722648579,57.7291626915,35.8568,57.729,1.26244136201,0.0627934,86.1535119119,4.5086,-287.722648579,92,57.7218,57.7330886499,0.0,48.1530951103,826.054027563
-59.6131,47.8756,601.054790724,93,-177.499269193,890.00365274,-177.499269193,58.1918812041,36.025,58.1947,1.26844174384,0.056269,85.1382291591,4.57036,-177.499269193,93,58.1836,58.1957740424,0.0,91.6403296401,804.585641754
-60.141,48.1244,691.481752013,94,-50.6653670066,998.629634508,-137.383922492,58.7073477673,36.1806,58.7094,1.29567388219,0.0561696,92.7338870893,4.98082,-80.2630026198,94,58.7015,58.7114543399,40.3994665697,82.0405483511,926.104089448
-60.6391,48.3549,132.626859179,95,-2.63872444705,987.473563504,-238.769832258,59.1732533428,36.3645,59.1746,1.26406795316,0.0757861,91.2722988418,4.74197,-120.704278352,95,59.166,59.1783476758,118.065553905,251.05338322,730.409598284
-61.1562,48.5799,654.746481871,96,-39.837372974,790.881972495,-144.442173167,59.7149189764,36.5362,59.7169,1.3188915276,0.0741228,82.2620706429,5.34273,-92.1397730705,96,59.7072,59.7196275095,52.3024000965,43.9102918601,739.101307329
-61.7425,48.8212,687.21597027,97,-31.649486463,787.668695685,-31.649486463,60.300297507,36.7077,60.2992,1.31527534461,0.07003,77.5687634864,5.12125,-31.649486463,97,60.2919,60.3048077475,0.0,28.9430329887,758.652044225
-62.2059,49.0918,668.668428977,98,-240.70645977,782.376308053,-240.70645977,60.7839002122,36.8924,60.7939,1.34029852526,0.0980493,77.3707359001,5.89193,-240.70645977,98,60.7777,60.7916772485,0.0,33.1934105615,740.040879803
-62.7431,49.2949,784.492874238,99,-59.2780321603,912.337111092,-59.2780321603,61.3263775988,37.071,61.3329,1.29316570654,0.0692928,83.6338631289,4.67549,-59.2780321603,99,61.3205,61.332863559,0.0,39.2361640162,835.162442084
-63.2528,49.5022,52.1928340008,100,-160.401602202,803.50594453,-160.401602202,61.8391451183,37.2335,61.8472,1.31431716428,0.0715352,76.1695196714,5.14163,-160.401602202,100,61.8326,61.8458869436,0.0,204.739812692,689.599507343
-63.697,49.7409,243.473531159,101,-22.2474775724,1138.29159715,-171.005892037,62.2616480313,37.3826,62.2624,1.32634002064,0.0636405,103.623590911,5.3515,-96.6266848048,101,62.2532,62.2644432729,74.3792072325,235.051765629,919.103978748
-64.2262,49.9582,745.194691687,102,-144.329037489,930.479059212,-144.329037489,62.7881289136,37.5706,62.796,1.29199246792,0.0959356,91.6888621889,4.99708,-144.329037489,102,62.7807,62.7928425449,0.0,61.6919025047,857.10739738
-64.6985,50.2289,763.07710388,103,-4.83311575727,922.71597566,-256.404976104,63.2569312537,37.7067,63.2577,1.32130818651,0.04451,90.0439068595,5.51691,-81.869320668,103,63.2501,63.2620594694,89.6980892272,46.2882927481,869.497617966
-65.1596,50.4411,77.4691393468,104,-19.7371630844,942.147182734,-56.8465145643,63.7134811262,37.8635,63.7258,1.35045651361,0.0613596,85.1796568489,5.77606,-38.2918388244,104,63.7085,63.718534148,18.5546757399,228.253393207,756.000433754
-65.5823,50.6627,388.519274613,105,-210.330745909,876.703434553,-210.330745909,64.1433333388,37.9849,64.1497,1.33910573839,0.0817466,87.6097988026,5.60342,-210.330745909,105,64.1337,64.1486297637,0.0,147.118494876,737.977021369
-65.9974,50.9055,669.18273374,106,-188.188806259,865.015079516,-188.188806259,64.5711143488,38.1655,64.5807,1.34290655757,0.0784722,82.0542856121,6.26657,-188.188806259,106,64.565,64.5773289255,0.0,63.9882473302,761.085005862
-66.5069,51.1825,739.15690984,107,-277.864413706,839.156231836,-277.864413706,65.0318860009,38.3143,65.0355,1.34737020741,0.0611605,79.1209118121,5.81516,-277.864413706,107,65.027,65.0354216419,0.0,29.6881821993,816.293866413
-66.9973,51.4446,773.188438745,108,-19.1925218405,878.944848496,-224.378350097,65.5381941464,38.4803,65.5403,1.3167571175,0.0888985,84.9590952194,5.3075,-121.785435969,108,65.5313,65.5415133555,102.592914128,31.7476245165,840.308834483
-67.5485,51.6648,825.257141965,109,-335.444676503,976.694991791,-335.444676503,66.0841523105,38.6275,66.0916,1.32252139633,0.0514178,88.1972335658,5.12223,-335.444676503,109,66.0784,66.0884856794,0.0,40.9496351758,886.678049442
-67.8968,51.9174,748.847159212,110,-290.677853351,843.262504453,-290.677853351,66.418917265,38.78,66.4206,1.34220113112,0.0673037,80.1954803268,5.3935,-290.677853351,110,66.41,66.4220451948,0.0,26.1672383559,808.437328972
-68.43,52.1031,720.79978991,111,-282.974979712,921.997172346,-282.974979712,66.9583330995,38.9165,66.9662,1.3256699065,0.0425705,86.5910963021,5.29535,-282.974979712,111,66.9529,66.9616388646,0.0,73.931258731,844.847387017
-69.01,52.3879,765.882649035,112,-153.735000267,841.485091481,-249.738509706,67.4842531932,39.0224,67.4862,1.34593080655,0.0540136,74.7415316776,5.5206,-201.736754987,112,67.4773,67.4881730778,48.0017547192,21.0658573146,779.486894627
-69.5102,52.624,819.150720475,113,0.536804315178,865.325535961,-229.768901722,67.9814436245,39.181,67.9868,1.34089995787,0.0404729,84.110834385,5.79472,-80.3567812574,113,67.978,67.9834494414,88.3986759263,11.9247982132,847.130573587
-69.9008,52.8595,161.292203757,114,-24.1473105511,792.580462217,-185.091797638,68.4181933297,39.3279,68.4217,1.3491973038,0.0810239,79.5005354674,5.65876,-104.619554095,114,68.4086,68.4220810141,80.4722435436,169.441367799,672.695013214
-70.3998,53.1007,9.78873116254,115,-12.7758088677,1086.74206745,-45.2171296222,68.9348238848,39.4437,68.9436,1.39717604044,0.0544819,86.7177990788,6.34096,-26.4317244759,115,68.9275,68.9424916399,13.7318017819,291.394842522,897.043555991
-70.8892,53.3387,733.333681842,116,-224.016526183,847.849778737,-224.016526183,69.4341844483,39.6255,69.4411,1.33730986245,0.0631271,81.9326676665,5.71491,-224.016526183,116,69.4284,69.4403054019,0.0,29.1826936868,797.675975579
-71.3625,53.5753,238.256570148,117,-3.37231509607,937.462384181,-159.047971757,69.8701941978,39.7738,69.8727,1.3387862244,0.0516069,90.7674871285,5.73688,-66.5320231268,117,69.8622,69.8744484987,59.0326156406,185.254873156,808.595907416
-71.826,53.7643,41.1871517221,118,-152.353667461,963.871348735,-152.353667461,70.3374021012,39.9329,70.3404,1.34726855461,0.0624356,83.5371593277,5.58289,-152.353667461,118,70.3308,70.3407421277,0.0,282.94916238,725.268899497
-72.3624,53.9742,709.899617813,119,5.14422466738,828.084064186,-138.895837692,70.8301624147,40.0556,70.8355,1.38544488028,0.089071,83.7984335713,6.34296,-80.9635636399,119,70.824,70.8355318271,62.087463006,33.3652060264,772.971630972
-72.7975,54.2357,701.032910511,120,-58.8356245571,845.688449328,-202.093228527,71.2898962751,40.2628,71.2899,1.38477428792,0.0722415,75.4963691502,6.3243,-130.464426542,120,71.2816,71.2941245731,71.6288019848,37.3311793536,748.856644868
-73.3638,54.4865,629.455440076,121,-18.6403210955,885.350095152,-193.530533697,71.8566328421,40.4216,71.8636,1.37539188929,0.0504281,87.6951725808,6.0473,-106.085427396,121,71.8479,71.8635929134,87.4451063008,73.164847236,832.378947165
-73.777,54.7333,671.84946267,122,-37.8736603317,745.426562342,-279.109738203,72.2374784081,40.5799,72.2422,1.39737244401,0.0758379,73.2980189609,6.69217,-158.491699267,122,72.2305,72.2446343557,120.618038935,25.6324585374,706.07585503
