AverageQLoss,MinReturn,MaxEsReturn,MaxReturn,AverageQ,AverageDiscountedReturn,AverageY,AverageAction,PolicyRegParamNorm,AverageAbsY,StdEsReturn,Iteration,StdReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsQ,MinEsReturn,AveragePolicySurr,AverageReturn,AverageEsReturn,Epoch
0.981636,171.032762024,182.673086023,175.600036069,15.0325,111.679849463,15.0350084158,0.817085,20.2351,15.0428600127,16.1225982186,22,0.905438389373,0.450059524293,24.5582,15.0462,126.42440498,-16.6052,172.730886084,168.470488995,22
1.26019,170.808425114,197.097669836,175.928092804,16.8031,111.907991163,16.8064339485,0.75583,21.1834,16.8131189341,16.5730648609,23,1.21873966674,0.496317516929,25.6655,16.8156,123.16773906,-18.4539,173.235323086,172.813679813,23
1.29849,173.124960532,196.076586543,176.906265677,18.4893,112.592848386,18.4917217254,0.633543,22.0156,18.4984342598,50.2221588869,24,1.00265549834,0.515226540204,26.763,18.5025,31.213398341,-20.1837,174.967360194,148.291562884,24
1.44666,178.770167356,195.023855263,185.838307585,20.2866,115.038439993,20.2885802083,0.564643,22.8356,20.2942406332,28.3622836846,25,1.24546234273,0.544381640801,27.7887,20.2993,84.6843453898,-22.0347,181.545963359,174.181698632,25
1.56019,176.774030721,187.962613397,184.035652725,22.0618,114.956626882,22.0657071412,0.701579,23.6403,22.0715821964,36.1897596356,26,1.66531773642,0.56635475309,28.775,22.0754,75.6604220629,-23.8556,179.751272306,156.214141218,26
1.97468,147.680039353,185.170870672,194.510404408,23.7527,112.796196077,23.756416394,0.584707,24.4849,23.7603900746,52.9625702897,27,7.34167173402,0.621852734774,29.7305,23.7651,14.3845873815,-25.6085,176.911268056,140.441953176,27
2.20461,153.365922699,187.898498871,178.452304829,25.4526,109.833083345,25.4547311656,0.781361,25.1898,25.459418886,41.1608653839,28,6.4097787852,0.652316641969,30.7401,25.4673,43.7667480761,-27.3293,167.286407214,155.044071918,28
2.25509,164.460769097,215.533487525,177.209921067,27.1391,112.33028024,27.142271399,0.735906,25.9038,27.1458064717,59.0994117848,29,2.39633701515,0.672613180586,31.6212,27.1539,22.2535513102,-29.056,173.882243625,151.644451902,29
2.32527,148.780324419,202.205402424,178.564050797,28.7116,110.399899123,28.7157968507,0.709294,26.5336,28.7196751584,28.9971439301,30,6.89374340398,0.681126911162,32.4385,28.7245,78.3383167492,-30.6633,168.936573945,170.277723705,30
2.62979,153.80405596,214.745710936,179.803939505,30.3627,110.813122851,30.3652628444,0.78593,27.0702,30.3688355827,55.2029369149,31,7.21306003044,0.698974305983,33.1874,30.3752,12.7552233982,-32.3494,169.620112769,158.576791324,31
3.28969,162.943862047,195.430049809,196.113539602,31.8743,114.641078943,31.877246347,0.631705,27.601,31.8808865197,56.5135137687,32,7.25005753813,0.789166740658,34.0596,31.8909,20.4842806802,-33.8801,180.115594803,148.690077035,32
3.01324,159.148699739,218.562091293,207.986169505,33.5532,117.424640274,33.5585063693,0.695092,28.1169,33.5621559758,34.4515683695,33,14.9385338354,0.765972756019,34.8,33.5702,103.78461714,-35.5898,190.20151034,175.836073504,33
3.70968,190.653486373,207.482695489,214.035462472,35.1103,121.108784116,35.1135886354,0.731009,28.6528,35.1167647637,43.8467856042,34,5.22918796783,0.840954526171,35.4889,35.1276,58.0991056348,-37.1823,204.125016459,161.575367123,34
3.65806,191.2375106,217.477668653,210.957337086,36.5668,120.500557618,36.5702243026,0.751471,29.1378,36.5734791626,32.7067945575,35,4.33012149105,0.830608142851,36.1715,36.5839,90.6566353317,-38.6792,201.958168106,187.862778772,35
4.07959,180.161760841,221.625547492,194.758000344,38.1968,117.208370385,38.2004070698,0.75791,29.5815,38.2032116674,56.0509820134,36,2.80368284782,0.87869325006,36.8527,38.2158,35.9993818763,-40.2787,185.447572799,172.086197645,36
4.30736,189.385767882,211.774101929,203.975901997,39.7193,121.250803549,39.7235337318,0.755444,30.0189,39.7261020783,50.1033414811,37,2.30481414433,0.902403028379,37.5232,39.7361,22.8658765479,-41.8103,197.832926621,179.089147364,37
4.41755,191.017794642,209.426488474,206.92751975,41.1886,122.212613557,41.1922224204,0.81305,30.458,41.195277349,52.0801794946,38,3.65049426985,0.89749436904,38.1888,41.2055,55.5525031176,-43.3068,198.295866507,168.415063518,38
4.74829,187.422700013,274.113730626,207.260064899,42.6574,122.134547546,42.6613352263,0.79377,30.8607,42.664187539,55.3547151363,39,4.4734582584,0.931358429492,38.8764,42.6766,33.4737240021,-44.8147,197.207046155,174.691222065,39
5.58161,146.278568872,217.514924716,213.625561977,44.1999,119.828224986,44.2044286326,0.774823,31.2423,44.2158680689,33.4937938939,40,16.1083918092,0.990822708829,39.4505,44.2283,117.253487107,-46.3723,195.081768873,178.665058026,40
5.52527,199.129929827,241.180109703,219.397771213,45.8176,125.491916597,45.8246103613,0.725549,31.5738,45.8313875799,61.5292605417,41,4.77854765588,1.00802431129,40.0208,45.8431,3.54807843444,-47.998,207.114426222,192.329171285,41
6.20308,188.221275183,218.743374706,195.174059006,47.325,119.05657227,47.3289919508,0.753833,31.9609,47.3402652242,72.6962495166,42,1.46084337112,1.03594243107,40.5691,47.3545,13.1584037948,-49.4586,191.555119548,153.627565778,42
6.49244,185.739212023,207.751109554,203.240485472,48.79,121.593543073,48.7952218641,0.798278,32.3418,48.8030385425,50.8465554726,43,3.54302731532,1.04528734016,41.1772,48.818,54.9059473502,-50.9484,197.108845262,157.463851794,43
6.65773,187.599276289,207.586252113,202.326087797,50.1305,121.742545258,50.1354223243,0.701535,32.7696,50.1431141005,60.9660182918,44,3.05046425008,1.08531476824,41.7327,50.1602,31.8180603523,-52.2999,196.218040013,148.140268381,44
7.84503,188.019959659,218.015839281,198.710461066,51.6516,119.745013578,51.657593809,0.782803,33.2266,51.6697442409,50.7252795227,45,2.1595798167,1.12617205801,42.3097,51.6887,42.9368651462,-53.8625,192.129422016,176.194147971,45
7.80324,183.679613704,212.402953503,197.739403833,52.9814,119.629601505,52.9892608854,0.813538,33.7059,52.9985113001,59.5695991611,46,3.45372274042,1.13025212909,42.9067,53.017,43.3922110826,-55.257,192.001480173,160.976402607,46
6.86552,183.849160675,253.909501016,207.329943886,54.4509,121.229034974,54.455264064,0.798581,34.158,54.4628153623,66.0815489089,47,6.55702910086,1.11357154838,43.4433,54.4837,3.65506963455,-56.7496,196.516929338,154.513886981,47
8.12655,187.070842428,211.777089178,196.537273707,55.7746,118.890264885,55.7803527862,0.80319,34.5189,55.7870301543,51.2585618186,48,1.76917221508,1.15576266475,43.9675,55.8068,26.5257281972,-58.0176,190.357737092,166.156584269,48
8.26506,185.521262428,222.373154023,192.736734903,57.0967,118.109021826,57.1029582221,0.816919,34.8541,57.1099164705,52.2231993492,49,1.67196206067,1.17394598987,44.5009,57.132,40.3222265807,-59.4445,189.066816243,177.798142915,49
8.01733,183.488078376,203.75739477,191.854721427,58.6974,117.661765403,58.7041089204,0.824968,35.1802,58.7108622053,53.5928414758,50,1.57841334453,1.17633742662,45.0076,58.7277,9.44070702215,-61.0554,187.900288527,161.320993298,50
9.24506,187.738377713,223.329803301,195.061134772,59.9187,119.4130797,59.9243306157,0.848888,35.517,59.9298022406,42.3866744473,51,1.63182859753,1.2593458988,45.5711,59.949,57.0467830057,-62.3446,191.365722917,176.4110684,51
9.93922,188.907220266,208.280743341,194.080984346,61.327,118.76287758,61.3315972105,0.826464,35.8193,61.3368553348,73.8694507425,52,1.12791182955,1.2589613158,46.0685,61.3617,12.1944748172,-63.6764,191.750654234,132.231027974,52
9.11423,188.411753721,197.385483952,197.920779323,62.6314,119.858440007,62.6394553541,0.82413,36.0818,62.6443796451,61.2041986782,53,1.93211033736,1.23545896194,46.5908,62.661,26.8142286853,-65.0408,192.993478979,136.041683468,53
9.85509,188.282710009,218.89871384,198.165096682,64.095,119.98084052,64.1008466072,0.779143,36.3917,64.1057692121,50.3238696077,54,2.47647253357,1.27516006851,47.0804,64.1229,68.5654517496,-66.5335,193.644654854,161.677546747,54
11.3393,189.761837194,214.908714467,202.582783047,65.3983,120.025631928,65.4047557245,0.782912,36.7832,65.409428862,60.514681128,55,2.2423451725,1.30835369025,47.6701,65.4307,14.4653443368,-67.781,195.857923959,159.222207237,55
10.1756,194.246886184,220.085385163,204.724058253,66.6678,122.01415794,66.6739890522,0.839668,37.1232,66.6782045817,68.6156960536,56,2.46697808015,1.30619237702,48.1396,66.7024,6.21226046557,-69.0093,199.020244143,161.645211244,56
11.797,186.358542977,230.105730984,196.372841751,67.625,118.934380243,67.631088045,0.828678,37.4935,67.6349021534,57.9276527128,57,2.11434617939,1.36273928285,48.6097,67.6587,42.2085634728,-70.0613,191.682958838,164.469796644,57
12.349,182.627883875,203.763972227,197.817142313,68.943,118.13156567,68.9500380136,0.823921,37.7895,68.9528429244,60.5482912996,58,3.31806936384,1.39959261466,49.0218,68.975,20.9491249465,-71.3903,190.250282965,157.608383401,58
13.5325,190.621472356,212.757999645,199.709361487,70.2279,120.729269482,70.2324005027,0.821475,38.0869,70.2352579331,49.759934218,59,1.72796964433,1.39483240216,49.4962,70.2582,43.8635711411,-72.6372,194.99632056,168.539806683,59
11.1488,154.074158235,215.348901493,208.927144524,71.4494,121.331592481,71.4579787069,0.83591,38.2821,71.4609201214,78.4643273022,60,9.35577071668,1.34842448762,49.8876,71.4852,12.3111311614,-73.8817,198.918929602,132.005016334,60
13.2844,198.292807605,227.86940564,212.841008678,72.3909,124.633641455,72.3991615835,0.839078,38.5901,72.4014820451,26.2726854979,61,2.78287691036,1.46145682489,50.2713,72.43,135.874162531,-74.866,206.302701732,185.586507909,61
13.5067,194.337251247,207.105355211,207.104404834,73.5573,122.492280796,73.5630653131,0.855841,38.8483,73.5670468067,49.0079408606,62,2.63684953161,1.42587129658,50.7661,73.5943,37.5705578325,-76.0266,201.029060865,165.118685553,62
14.8089,171.663886362,213.001600444,204.203483145,74.8044,119.706913759,74.8135653029,0.875932,39.1159,74.8160821822,64.9312995885,63,8.31358077696,1.52787071194,51.2409,74.8428,46.5701572222,-77.3641,193.639665803,132.836460546,63
11.8097,184.304450261,236.068730226,207.673040487,75.9035,122.716338621,75.9101811391,0.877146,39.3507,75.913048639,21.2484501485,64,4.91327179417,1.38470034752,51.7329,75.9408,151.783305113,-78.3721,200.781536329,192.433361077,64
12.6187,194.220990183,231.096138026,204.208425513,77.3818,121.798617962,77.3885802221,0.847709,39.6269,77.3913729402,56.6179664618,65,2.05348582694,1.41415477314,52.1448,77.4148,40.3229245609,-79.928,199.074029055,168.191506289,65
13.7808,186.261758309,229.245699848,208.481486601,78.4987,121.984757703,78.5069555757,0.844596,39.8581,78.5098007311,47.9631695021,66,5.17312099612,1.45427315672,52.5455,78.5339,34.3815051959,-81.0121,200.800417792,183.750853017,66
16.4565,160.582024822,211.849172295,205.986989832,79.6293,119.109029809,79.6338058333,0.854413,40.1311,79.6371816967,50.3979224265,67,9.40375070238,1.53292655608,52.9846,79.6655,26.4417105411,-82.1776,191.751456126,167.960847729,67
14.5179,142.360362005,236.177862891,203.499714483,80.3877,112.645372917,80.3976368061,0.876178,40.3862,80.3999111808,57.4678709829,68,18.0315408334,1.53272955857,53.388,80.4304,37.7467588646,-82.8993,175.884445042,151.854360542,68
14.3477,163.347754875,222.40424812,204.248856498,81.5966,120.019633391,81.6041864903,0.854056,40.6551,81.6074266162,40.5527393717,69,8.62191962004,1.51030380304,53.8859,81.6339,63.7252686487,-84.0785,193.444735172,170.240070778,69
14.4064,182.300129499,228.030792271,205.233490507,82.415,120.551523222,82.4214794561,0.861708,40.8624,82.4250261532,61.4597829332,70,6.25082024987,1.50489607379,54.2889,82.4569,28.0219459926,-84.9762,196.501617693,154.096206505,70
14.7748,190.811979285,224.000440441,201.664329019,83.5631,121.345040527,83.5706686722,0.832419,41.0536,83.5742909709,54.4922838808,71,1.82290311259,1.50340311513,54.6736,83.6037,43.0633826608,-86.1088,197.273364261,168.688763708,71
17.7311,179.336031128,241.350492233,201.44110993,84.5553,120.661071199,84.5624429397,0.841564,41.267,84.5650326682,67.763043504,72,4.81550134881,1.5904755623,55.1246,84.5939,8.481636047,-87.1324,195.667382534,159.930889823,72
16.2594,200.00455448,240.456446378,210.953712929,85.7002,125.220748581,85.7088836655,0.825566,41.4131,85.7118323717,64.793685398,73,2.10837837425,1.56484554115,55.5412,85.7374,20.4970012457,-88.2268,205.131324784,178.252968396,73
16.2697,161.117440352,219.229518373,205.414845802,86.4746,121.041455548,86.4813255085,0.872472,41.6178,86.4850602275,46.400780422,74,7.96913948827,1.56920047896,55.9803,86.5151,54.5693735697,-88.9774,196.275218758,179.740156531,74
17.2451,178.810914255,238.803132171,208.499214341,87.355,122.664326477,87.3611422369,0.862934,41.8059,87.3642686294,70.0361206673,75,4.69242431412,1.5941255308,56.363,87.397,4.37856174113,-89.9155,200.877792043,167.904983903,75
16.6634,146.95541783,224.951479251,206.995615679,88.3938,119.651682369,88.4026920745,0.863982,41.9706,88.4060930586,73.6053489405,76,8.82246971354,1.58945813472,56.8383,88.4401,13.369822703,-90.9345,193.790898407,141.230076027,76
21.2632,159.536386624,234.152790098,203.091852968,89.2184,120.278863493,89.2290272091,0.874522,42.1929,89.2317014973,78.6704638899,77,6.36560670176,1.69510254365,57.2782,89.2585,17.8989382515,-91.7894,195.074545128,150.092974801,77
18.4149,181.500901954,228.141590578,211.384942414,90.2024,121.833345171,90.2100098517,0.820026,42.3868,90.2142525641,74.0138974164,78,6.11816118839,1.67191785823,57.7463,90.2486,20.7886872495,-92.8241,199.545379168,149.00079513,78
17.7069,142.123042914,237.124894807,209.185418298,91.0979,121.353876308,91.1071563109,0.824281,42.5795,91.1118602284,73.4505529845,79,13.6204350753,1.66580236608,58.1312,91.1404,10.6178872463,-93.7072,196.843307519,158.619275051,79
21.8875,192.082779869,223.876331423,210.791455522,91.9651,123.444326349,91.973790991,0.801348,42.7562,91.9777459096,68.34297602,80,4.67699655515,1.74407690918,58.5972,92.0149,25.5006220762,-94.5829,200.790414447,150.940406898,80
20.5888,191.821596811,214.986581585,213.03292767,93.0868,122.7916542,93.093226588,0.751568,42.9236,93.0974121518,67.8481382467,81,4.53661643543,1.72365127481,58.9574,93.1319,18.7603010382,-95.7604,203.08884065,162.70879654,81
22.6771,145.870793221,223.237973792,194.177929777,93.672,109.068490336,93.6830607501,0.870877,43.0827,93.6865288872,49.0036980357,82,12.5798737195,1.77350842553,59.4018,93.7228,33.1006419236,-96.33,166.647177098,181.798582923,82
20.837,144.861774928,223.647523411,204.330870843,94.4426,116.482369646,94.4560260164,0.86964,43.2664,94.4593587582,57.6243787761,83,13.6673919472,1.71357075342,59.7896,94.4909,56.0268865499,-97.1023,185.133476789,156.824552949,83
21.7672,175.999645765,245.397208378,217.29495357,95.4759,121.065451696,95.4802401182,0.793176,43.434,95.4838666785,52.6750222635,84,12.4990926668,1.73641555153,60.2247,95.5219,40.4949243717,-98.1165,198.290059079,193.207600441,84
20.9025,150.268249917,239.218645348,212.220883029,96.0554,120.688802754,96.0656471644,0.821178,43.6281,96.0701311508,77.375339814,85,11.1493269589,1.73535397743,60.6683,96.1099,17.0740804581,-98.7061,196.332030657,147.26306113,85
21.0717,199.614944146,224.342319801,211.302777934,97.0216,124.761588207,97.0290791507,0.854986,43.8052,97.0336815805,58.6750713516,86,2.74178828619,1.71798631438,61.0955,97.0666,35.9383590604,-99.6566,204.848945366,173.977827707,86
22.3214,191.265217782,222.581360963,210.30941486,98.0446,124.471979881,98.0527034264,0.828129,43.9633,98.0567854589,74.8523962605,87,3.97561157226,1.77019295276,61.4865,98.095,19.3639318714,-100.712,202.992004405,135.069719555,87
23.7157,204.300528658,221.073555018,215.301914174,98.5665,126.178098997,98.5769556741,0.810525,44.0639,98.5796969271,66.6177869611,88,2.21323062309,1.79624002557,61.8561,98.6132,20.5811711482,-101.252,209.357407047,170.439285354,88
19.3111,201.481083173,227.631363247,218.218457295,99.1119,126.83088357,99.1188070999,0.790519,44.2056,99.1217782442,50.5086319871,89,3.6103670773,1.71440466701,62.24,99.1597,32.0715552468,-101.803,211.871338602,190.580514071,89
20.5545,198.010938057,228.49041349,212.037870779,99.8712,125.673660895,99.8765120723,0.853812,44.3221,99.8798142661,71.7270032876,90,2.83240120287,1.741205778,62.611,99.9222,29.7685373269,-102.51,205.975571617,126.08088474,90
22.1521,204.072433482,225.781289038,235.127432311,100.797,129.522529084,100.805196192,0.802495,44.4989,100.808751373,72.6573949744,91,5.64426951647,1.76210477996,62.928,100.845,16.515748651,-103.512,219.464215916,153.573008313,91
24.9483,207.031196064,233.64990243,229.766389454,101.345,128.740545632,101.354834838,0.802613,44.6607,101.358928943,60.069314633,92,4.23662272149,1.79458338308,63.32,101.394,85.4205882101,-104.115,216.93557096,167.508202986,92
22.6133,209.557302403,231.639722648,233.496309241,102.308,130.527748727,102.310336168,0.804119,44.8301,102.313017959,84.0174114568,93,4.61809435375,1.77128156061,63.7328,102.36,22.2702566852,-105.05,220.864825638,144.867291281,93
22.8616,187.612564138,225.099648147,208.78753594,102.869,122.702704978,102.881696938,0.859687,44.9858,102.884828026,77.5252896245,94,4.97454998897,1.81360583718,64.1669,102.921,19.494438271,-105.701,197.844224811,107.498676102,94
25.093,221.575361417,235.856299154,244.818129472,103.321,134.632437242,103.326760586,0.780308,45.0981,103.331659103,79.3735537125,95,4.48522742486,1.83449946473,64.5518,103.374,11.6086218667,-106.162,234.615189539,164.079400262,95
25.46,203.97299649,233.115611202,227.116414737,104.278,130.155387061,104.28620759,0.797639,45.2711,104.289877683,40.5253606381,96,3.74620342759,1.82415016378,64.9229,104.338,101.005435845,-107.083,220.150031919,191.96846938,96
22.4663,216.079796918,233.43174357,235.97728513,105.156,132.884598912,105.162097453,0.782739,45.5162,105.167437701,78.5479175048,97,3.65981377041,1.79150386435,65.2757,105.208,12.7665240767,-107.898,229.933241372,154.762563096,97
25.3835,204.976485657,228.419032199,230.608418697,105.349,131.439636304,105.359277868,0.838148,45.7092,105.365017352,55.7439142746,98,5.37762033499,1.85141325827,65.679,105.403,48.4963504615,-108.166,224.616111973,189.420767621,98
22.7654,216.419168216,235.19909552,234.569358941,105.978,131.721241617,105.980908629,0.800127,45.8864,105.983671451,74.4744837818,99,3.89312431759,1.83308700606,66.0341,106.042,41.559449097,-108.768,225.769385862,163.275196662,99
25.2934,216.046089067,235.764803761,236.614738624,106.239,132.221801504,106.247869334,0.775425,46.004,106.251345987,74.1645279403,100,4.46931400061,1.85863415291,66.3703,106.298,25.1842791891,-109.054,227.678330527,176.104875962,100
24.6224,216.298699598,234.450497076,239.728692662,107.13,131.744741235,107.139189618,0.792034,46.1818,107.142781811,70.4294043438,101,4.67386671205,1.85529461608,66.725,107.186,24.4954465081,-109.931,225.996809673,178.296641134,101
27.6199,218.569712165,232.706166571,229.664465713,108.019,131.464273235,108.027313711,0.829583,46.3745,108.030745538,66.6707907483,102,2.33532667274,1.85910436589,67.0475,108.061,10.5966112613,-110.727,223.786291549,174.569056036,102
23.9457,216.896650434,229.835753988,232.80901958,107.639,130.72980593,107.649307056,0.794444,46.5625,107.653131636,87.8510461176,103,2.92335613258,1.81740489089,67.4576,107.689,4.67450336998,-110.459,223.248816092,155.437770762,103
27.4278,220.351492101,231.764357311,235.637041726,108.295,131.146517845,108.300473635,0.746561,46.7178,108.3033097,61.4632083135,104,3.15804167968,1.89066843076,67.7474,108.356,37.7436043923,-111.07,228.853279879,171.287473967,104
26.465,215.916922036,238.600790408,230.393067907,108.74,129.332699532,108.744147581,0.743264,46.8603,108.747557731,83.7146250351,105,2.48655003697,1.83715655052,68.1551,108.795,16.2651777197,-111.449,221.863983258,168.616656339,105
26.5873,206.893053274,232.085821321,221.573360873,109.276,125.472601414,109.283621711,0.730391,46.9523,109.286571035,75.9185153241,106,3.27050113225,1.85804942472,68.4419,109.334,28.8669236169,-112.022,213.970883469,147.69868419,106
26.1274,217.252164623,233.874449401,233.134006438,109.573,129.301278053,109.577605754,0.700091,47.0617,109.583775908,71.8894152152,107,3.58124172229,1.82425574841,68.7592,109.629,34.8777524092,-112.329,224.714843924,178.615322757,107
25.4177,208.007679845,232.253888662,227.728809815,110.262,126.602261274,110.267847215,0.684757,47.2639,110.272161794,78.3088330734,108,4.39188231255,1.77822650398,69.0076,110.316,22.8966551379,-113.048,216.73996903,175.954206827,108
23.9242,208.124326646,237.443683353,227.827709007,110.267,127.276659421,110.275266487,0.717371,47.4255,110.280291136,78.8439603052,109,3.08929037336,1.80633026177,69.3582,110.328,20.5630190756,-113.056,217.241707566,182.512785694,109
27.312,221.716174826,238.074026145,233.801700513,110.733,130.592322633,110.737687942,0.686677,47.5711,110.740762603,73.7735459103,110,2.55191224404,1.8692710055,69.712,110.796,29.2481289697,-113.54,227.204094243,171.2490679,110
26.9974,214.424539505,237.655175911,231.556451871,110.905,130.192764839,110.914599695,0.728901,47.698,110.917517811,97.4676867602,111,3.07394205115,1.88002329334,70.0163,110.967,13.2857198485,-113.708,226.004649357,113.54503464,111
27.747,219.055779183,235.08095014,226.802608044,111.267,129.67279305,111.273229469,0.765361,47.8332,111.277336136,87.5851960612,112,1.66690037124,1.83171746397,70.3456,111.324,9.01805553901,-114.056,223.375654871,169.994483341,112
25.0783,221.413897603,235.234543552,231.007614765,111.197,130.854181946,111.204246063,0.771853,47.9972,111.207052204,83.4690648244,113,1.928149947,1.85498740334,70.7575,111.257,22.7548193977,-114.067,226.868531927,171.133014616,113
23.5317,222.388417259,234.814904569,240.126697702,112.064,131.211361005,112.070272154,0.707852,48.1454,112.072426453,96.3902097272,114,2.76269840717,1.82653530292,71.0736,112.123,9.14403571423,-114.841,228.076202846,125.748012657,114
30.6303,220.475791306,241.328555156,234.14151697,112.101,132.678772699,112.108073572,0.757488,48.2683,112.109898533,85.4976655174,115,2.73197195988,1.93516243028,71.3912,112.159,24.5147181388,-114.962,227.45824401,152.316351631,115
25.0561,224.482398531,255.236499532,237.237268415,112.415,132.666978584,112.421065088,0.739605,48.4268,112.423470145,89.0819652214,116,2.74286040947,1.85466693013,71.7429,112.46,17.1117576562,-115.282,230.500155525,162.941183336,116
29.7121,224.453091341,236.09010637,234.085642348,112.604,132.813300195,112.610166857,0.76709,48.5994,112.61219093,90.8613834924,117,1.95712578726,1.9123187229,72.0924,112.656,18.1546610763,-115.386,230.097026569,166.119476974,117
29.0228,232.782814074,246.382804588,242.15648745,112.53,135.174261045,112.534395982,0.762415,48.7332,112.537167769,65.9548461394,118,2.09930025029,1.87690513074,72.3743,112.579,3.58440932393,-115.334,236.328122229,180.215790894,118
28.742,230.078356387,235.707895495,241.6803501,112.71,134.846804723,112.718406311,0.799054,48.8604,112.721654704,77.943364819,119,2.11395555261,1.98901647204,72.816,112.771,10.9630661858,-115.538,236.21233915,168.045330741,119
26.7657,230.732304093,237.781671743,240.470232793,113.042,134.539757825,113.046582248,0.74717,49.0093,113.051990013,79.5678543943,120,2.19251815438,1.8628985788,73.0523,113.092,15.9897628936,-115.893,236.129533729,167.755581027,120
26.3993,222.588514304,233.527326454,231.662079378,113.269,132.618878451,113.27656841,0.77954,49.1708,113.279987792,91.6116676089,121,1.84087779397,1.88984357195,73.3814,113.332,9.16978408718,-116.041,227.614405744,103.736660975,121
29.0464,226.208067574,241.035508647,235.876011281,113.206,133.460979517,113.210506574,0.787423,49.2742,113.214498904,93.3090782214,122,1.97546246482,1.9844494492,73.6931,113.267,10.2286325666,-116.037,230.638655969,102.917511361,122
28.3542,225.66597985,233.876662811,236.17174995,113.856,133.238349571,113.8623952,0.750608,49.4076,113.864929469,65.9852630268,123,2.10448721106,1.89272391954,73.9972,113.914,17.4114382119,-116.693,230.456537587,192.944938248,123
32.2986,228.894391442,234.52198301,237.851367091,113.732,133.909169841,113.73844722,0.769588,49.5438,113.741599624,12.7179587735,124,1.90295402369,1.97951040573,74.2602,113.794,189.139917346,-116.499,232.869273392,223.772559768,124
28.5848,229.299264517,241.628243514,240.641069772,113.777,134.543961867,113.784946545,0.777698,49.6846,113.787997836,79.208933291,125,2.23187624835,1.88743275629,74.5629,113.834,16.2090009605,-116.538,234.852704083,171.204443232,125
