AverageAbsQ,AverageAction,AverageQLoss,Epoch,QFunRegParamNorm,MaxEsReturn,MinEsReturn,MaxReturn,AverageReturn,AverageQ,AverageEsReturn,AverageAbsY,AverageDiscountedReturn,Iteration,AveragePolicySurr,AverageY,MinReturn,StdEsReturn,AverageAbsQYDiff,StdReturn,PolicyRegParamNorm
22.2425,0.760194,3.40614,33,29.2662,437.919646463,-102.336059284,434.029179025,180.869365065,21.519,146.550365915,22.2484301158,75.6353478969,33,-23.646,21.5237561423,16.5994630629,182.345360703,1.04247484135,136.075403877,26.8862
23.3385,0.764105,3.51435,34,29.899,306.203949188,47.0298742134,444.113207713,195.977302635,22.6443,217.1435777,23.3475034953,106.334589792,34,-24.8617,22.6500875304,106.288677307,88.9225239065,1.08256038301,45.917603661,27.1535
24.8515,0.775911,4.11537,35,30.5674,234.690454112,12.1299588601,350.345027253,219.057689691,24.1893,138.011220689,24.8612197568,108.345190503,35,-26.4599,24.1954813073,132.704617717,90.1083850168,1.14205087258,56.8012030656,27.4615
25.8734,0.794322,4.62436,36,31.1626,467.491683759,59.8806155057,407.685286803,275.083892031,25.2518,198.260844995,25.8841052422,113.023349219,36,-27.6047,25.2584266215,128.365402722,190.399767509,1.21273486482,59.1332551521,27.7244
27.4034,0.83257,4.77035,37,31.7995,459.882395741,-5.6371542906,1179.27927208,312.094809634,26.8354,130.557906831,27.4138287166,84.0192323577,37,-29.2121,26.8451064407,18.0900708873,144.389072348,1.2807755808,337.085055476,28.0846
28.6671,0.844833,5.17065,38,32.4012,229.240475418,3.71789123386,883.720630168,239.256649021,28.1112,124.905403333,28.6755421553,80.2419607335,38,-30.5478,28.1178713335,102.365005586,79.6882694251,1.32371687383,205.278132571,28.4237
29.9599,0.805481,5.63866,39,32.965,264.794248639,42.692660133,822.581449966,262.551739045,29.4559,152.992354007,29.9707882468,82.9401120191,39,-31.9329,29.4619294071,28.6099376836,82.9505389194,1.39285446911,171.526835948,28.7293
31.3738,0.825562,6.0904,40,33.5315,292.706130131,18.0793897564,312.868447117,198.517773807,30.9011,151.001977149,31.3860652637,72.4767590034,40,-33.3883,30.9106184119,-11.8973738263,90.5511211974,1.44959433217,71.2612032219,28.9612
32.6973,0.788696,6.71836,41,34.0589,245.991505491,-46.2438882586,543.680829032,171.882684066,32.2455,88.7927982788,32.7130594281,68.4574199836,41,-34.7387,32.253125282,1.71484288966,107.71443076,1.5124979413,92.657827407,29.2266
34.0025,0.782407,8.05856,42,34.6056,291.93443201,-18.4921810873,440.091418068,163.887153768,33.5714,81.4128738638,34.0155004539,67.7428121763,42,-36.1041,33.5777045162,-30.4002293583,100.620621228,1.62584194797,74.2964672867,29.477
35.2962,0.703415,8.69249,43,35.2279,124.822951011,-2.38733219652,284.930298888,75.490039388,34.861,55.4179717283,35.3129835855,40.8544214829,43,-37.3919,34.8728265785,-70.8201612443,42.0051807729,1.69768937296,93.2429962603,29.773
36.4141,0.771177,9.04843,44,35.7307,124.232926271,-16.7141750579,945.261301861,201.14942733,35.996,13.2010090669,36.4284978292,50.7907681153,44,-38.5829,36.0054282931,-59.2222303506,38.6754571131,1.7386947645,176.239828823,30.0436
37.8647,0.721848,9.27628,45,36.287,454.67979577,12.4555887006,527.14880019,200.37674025,37.4849,235.216502916,37.8795600831,58.8488430414,45,-40.2054,37.497878198,-30.255633384,189.257459539,1.79137026039,121.45377408,30.3479
39.257,0.727046,10.0444,46,36.8109,225.740347361,-1.90504737705,587.146140371,153.282379196,38.9213,57.1194882387,39.2739137032,56.5010948906,46,-41.6737,38.9303102888,-44.401487997,74.6494736255,1.86521322329,133.908366737,30.6503
40.6104,0.729555,10.806,47,37.2967,236.968231107,-3.83353008801,410.427539054,66.2226717213,40.2982,52.1409438109,40.6240966617,31.9506746635,47,-43.0139,40.3090411799,-85.0401776901,81.3417243941,1.93391595917,100.537085752,30.8993
42.024,0.749246,11.9461,48,37.8114,222.627978545,34.6979824565,432.378613107,158.524886801,41.7359,147.511909675,42.0366969208,66.3692788068,48,-44.4767,41.7475007112,18.576409827,65.3574978167,2.01010878527,87.4604663153,31.1038
43.3969,0.756697,12.2252,49,38.2813,271.858278931,3.40809366508,566.98209833,322.972793887,43.1048,114.544102072,43.4109354777,108.960324453,49,-45.8736,43.1212019764,112.843367557,97.723869246,2.05955940918,106.261371958,31.3696
44.8835,0.77771,13.1621,50,38.7494,458.372909252,-53.7002214647,619.9202244,229.439143344,44.611,148.228563476,44.8960571427,85.0889896934,50,-47.3964,44.6215716467,22.0324461861,159.35697132,2.1211490395,128.216677816,31.6216
46.3193,0.761988,13.7759,51,39.2128,315.856359459,18.9623008154,352.049522043,237.537382064,46.0468,123.761145912,46.331809876,101.746632605,51,-48.8769,46.0619613935,78.2307890638,98.5710025573,2.17860913815,63.2635629077,31.8842
47.5933,0.761647,14.4668,52,39.6513,310.020024679,-28.4612419351,294.028490359,123.057198611,47.3331,69.8179916751,47.6026510068,62.8161592757,52,-50.0507,47.3413461205,-172.502319946,95.7231950366,2.18317600483,57.9841368309,32.1605
48.8405,0.762734,14.9944,53,40.0621,203.871220879,-4.41193221168,497.048916454,232.644620966,48.5648,74.6470659116,48.8540715602,85.3633522627,53,-51.3392,48.5796337335,33.688727056,70.0189738658,2.28124458741,92.3844673713,32.522
50.2275,0.798847,16.4707,54,40.5305,256.437057808,-16.3773881591,564.632011028,242.757887734,49.9571,101.772564962,50.2399216024,107.644149196,54,-52.7515,49.9721626874,57.0827351791,90.8004056377,2.33267748032,75.9103280377,32.7977
51.5525,0.801345,15.408,55,40.9738,388.424601093,46.4755877342,532.889766285,260.900075437,51.303,210.886036882,51.5527091561,95.6468449035,55,-54.1374,51.3145381048,16.3853574734,117.078093765,2.33666844284,120.743400192,33.0752
52.9492,0.83445,15.9828,56,41.3974,432.862853318,64.9669933114,287.195088246,233.460942918,52.7139,188.204141084,52.9508343492,117.300248748,56,-55.5766,52.7289335004,203.018207616,110.003840952,2.35778036348,19.8888116622,33.3567
54.458,0.818049,18.0572,57,41.8142,237.995923447,25.5800019993,262.048852909,134.78430781,54.2414,141.301965423,54.4577350183,91.9044676548,57,-57.0966,54.2567363668,97.5479594134,78.6486854702,2.42365805387,31.7810452935,33.5637
55.83,0.797711,17.1345,58,42.2463,383.839827055,11.164282377,694.382587688,281.474885887,55.6319,174.962484246,55.8279441085,97.5438850007,58,-58.5775,55.6447294346,17.4157516489,111.721221368,2.42128742609,110.403968131,33.8767
57.2393,0.840231,17.2564,59,42.6294,193.921774857,25.8920118561,507.978197247,268.863909594,57.0743,123.81292296,57.2415625936,113.998193488,59,-60.0437,57.0883772266,124.523443362,70.8789491777,2.43768013788,85.3935719939,34.1588
58.6165,0.828297,18.7838,60,43.0215,246.625859307,27.5006717444,722.019299464,238.595863341,58.4555,120.487791904,58.6179525005,109.165315147,60,-61.3663,58.4705631201,95.1664003203,79.6680406667,2.52444224906,98.5606113463,34.4213
59.9603,0.827652,18.3539,61,43.4044,305.469838798,-10.0492530077,724.050746961,238.310923448,59.8135,127.239347748,59.9617741947,116.366933442,61,-62.6858,59.8259630571,112.042282223,122.626271252,2.50345948972,99.1561413953,34.6765
61.3316,0.846841,19.3988,62,43.7735,402.431653485,38.5251075243,384.998489387,200.067612029,61.1884,214.486937921,61.3297656556,110.811277751,62,-64.0744,61.2023091203,94.201560025,137.058211825,2.56825257861,78.0183897599,34.9554
62.5801,0.801063,19.9286,63,44.13,485.657195057,182.508943778,401.292355057,231.971311748,62.4403,292.058380923,62.5845380349,89.010974596,63,-65.4327,62.4570700669,46.4169612386,131.252583014,2.58796994925,74.7809749398,35.1492
63.7757,0.81808,20.5492,64,44.4592,418.599063615,13.0450367846,486.63963292,226.911609166,63.645,190.297111159,63.7786130368,96.4320561101,64,-66.6696,63.6586964889,104.878706618,145.742046061,2.63495012863,89.6987988998,35.4277
65.4699,0.826326,20.6241,65,44.8412,390.808074769,51.6241156223,405.580476044,174.293174529,65.3419,194.284092479,65.4739638518,95.2880970909,65,-68.3551,65.3554817535,89.4234805785,126.565509907,2.65077220291,64.2509521369,35.6394
66.8522,0.856312,21.2121,66,45.1875,235.621661527,5.13685651904,419.082460798,150.922284934,66.7232,128.130437583,66.8507675913,89.2904321718,66,-69.7754,66.7383202815,77.1417429062,85.6546920153,2.69074190157,63.4139741048,35.8622
68.292,0.843591,21.0357,67,45.5038,419.456814232,20.566153354,411.778240197,153.379425508,68.1726,214.766580521,68.2954199203,82.9158122404,67,-71.241,68.1894223062,66.7161916245,142.679644361,2.70649553442,69.6377224462,36.0585
69.746,0.842129,22.2024,68,45.8776,411.188374289,109.066707419,439.606981398,199.927486898,69.6286,285.060734668,69.7461463342,79.1971071867,68,-72.7675,69.6421714114,33.0357657487,121.716081463,2.75061712595,77.4936634449,36.2267
71.3959,0.829806,22.6198,69,46.2253,344.946971399,8.17152955198,502.951939256,168.52867059,71.2829,121.86967081,71.3947061841,87.0511021151,69,-74.5081,71.2972796425,-84.9897880029,105.689339122,2.7750075429,82.7138129375,36.4075
72.8505,0.852661,23.3685,70,46.5755,469.241980799,-21.9151168831,521.27643934,150.779990478,72.7314,95.5319887999,72.8506309666,90.2823666803,70,-75.9444,72.7454393796,67.1231816183,145.548042465,2.8088518817,66.5206067296,36.6359
74.1046,0.808146,23.6604,71,46.9379,348.722017288,13.7106428412,358.205430168,155.538683654,73.9915,131.446849696,74.1066828545,86.3114682248,71,-77.1625,74.0067189084,72.2827786365,101.681378594,2.8357224673,73.3020344143,36.8317
75.6036,0.784297,25.538,72,47.269,381.688966064,-29.3673950598,526.331021844,222.435737822,75.4852,167.053163448,75.601617078,75.2700561224,72,-78.6194,75.5002368014,-44.0425152096,121.732752731,2.90612936364,142.351072777,37.002
76.9645,0.790407,25.5756,73,47.6014,280.600091876,-1.80596475339,390.230418017,134.810106827,76.8432,111.397383545,76.958484329,48.2346021597,73,-80.0058,76.8559461137,-78.0518587884,101.287324909,2.93713415484,96.3681472588,37.2104
78.4506,0.808051,25.0423,74,47.9124,473.117937328,-3.11736781781,769.770149361,314.264692085,78.336,194.375269675,78.4536229344,84.8276915268,74,-81.5351,78.3535976975,-9.37180862678,199.802642847,2.91544192472,158.895796441,37.3898
79.9529,0.757751,25.6921,75,48.2133,198.325444785,-4.82737514756,410.769974798,93.3876750005,79.84,98.0716543975,79.9562193566,41.8057305533,75,-83.069,79.8546616988,-158.291146117,69.3588024165,2.94738228169,121.831458598,37.5853
81.0681,0.775301,27.5126,76,48.5761,210.28826367,-16.4250132215,472.705719821,83.7476499984,80.9547,109.452615413,81.0794875723,20.8738133665,76,-84.2712,80.9776214536,-173.401957732,88.9408341199,3.03774279297,159.146600354,37.815
82.6475,0.802293,26.9501,77,48.8651,423.56527023,-9.60767785807,915.018034994,318.746149553,82.5326,100.406646982,82.6426521599,45.2354892542,77,-85.8004,82.543909519,-142.082603387,147.706547647,3.00294655377,293.735074985,38.001
83.7761,0.820835,28.6205,78,49.1494,262.900521837,-89.1550716873,904.109312598,249.123317014,83.6666,31.6865569937,83.7809411938,53.7675120177,78,-86.961,83.6840348545,-81.0477086605,88.290393212,3.0655608582,195.522126048,38.2082
85.1983,0.812915,28.0987,79,49.4793,331.071773438,-1.80590109448,659.65458918,226.567959912,85.0923,126.985254935,85.1981458127,74.1774467975,79,-88.3321,85.1091731613,-55.3690939799,128.443014593,3.10612707514,143.583071455,38.4806
86.4083,0.804034,29.5239,80,49.7483,133.742352389,-71.8040962987,568.542464786,218.235393795,86.3005,30.6163587394,86.4046816973,80.9019277474,80,-89.5818,86.3189027926,1.38904744159,52.8261389629,3.16020617954,90.2702012098,38.6739
87.381,0.797106,32.3394,81,50.149,257.612827853,-5.63769090263,757.150222437,330.673069144,87.2795,105.494119788,87.3786614973,113.500901147,81,-90.5378,87.2976280319,31.4644664745,98.62658997,3.22165913796,142.413763341,38.9223
88.7942,0.79357,32.4267,82,50.4809,367.188325611,91.8494788725,693.856047879,92.1941236867,88.7045,213.469773289,88.8038497421,26.6006127723,82,-92.01,88.7282649789,-94.8749769202,88.545213029,3.19838463969,158.068940338,39.1556
90.0356,0.82068,29.158,83,50.752,575.464667001,-90.3704200751,603.308196807,237.010360884,89.9348,106.237675751,90.0256618603,82.1946025596,83,-93.2398,89.9467326994,-56.9662080213,200.603869647,3.18256673767,126.125207515,39.4253
91.2506,0.828803,33.9256,84,51.1129,338.820148098,-77.537005572,566.30046487,223.077794285,91.1562,86.7987036613,91.2473815399,84.6810448151,84,-94.4872,91.174258236,-45.9759919154,115.646412077,3.2961039543,121.083388333,39.669
92.5968,0.859109,32.5013,85,51.4126,352.157544845,-6.65202746317,955.597090815,289.214531775,92.4985,92.1961407016,92.5908609517,78.8894177355,85,-95.8383,92.5142932286,-81.3605755552,117.789538972,3.28204333987,224.018477853,39.8847
93.6929,0.847969,37.2356,86,51.7291,109.384296306,-127.112581586,623.854718582,212.103465377,93.6016,17.4885853416,93.6868556821,71.4650310024,86,-96.9699,93.6190107684,41.2109347228,63.665853625,3.40201317686,111.840678216,40.153
94.7136,0.79245,35.8908,87,51.994,190.941235667,14.4639334959,429.375187109,191.983729702,94.6107,124.571725986,94.7001008081,72.7562336117,87,-97.9148,94.6279120438,96.6910937083,60.8057196667,3.4181516563,59.9438100136,40.3512
95.9285,0.820994,37.3643,88,52.2829,191.886779106,-2.73123194433,452.61115066,127.19896661,95.8374,117.072559162,95.9241209644,41.6815713063,88,-99.2462,95.8573567354,-194.683031717,57.7346629869,3.42048791688,114.76611633,40.5784
97.1782,0.787992,36.3549,89,52.5723,325.758427354,-26.4041730469,449.894008232,184.271646492,97.0903,103.355314876,97.1682881649,65.3055941088,89,-100.513,97.1021071159,-71.1501602249,131.555939937,3.44781297265,95.1823906383,40.7444
98.3262,0.835199,36.9824,90,52.8809,194.417264319,-42.7691121877,375.227774382,123.345980604,98.2293,77.2108131914,98.3199955784,56.6264820519,90,-101.626,98.2471158796,-69.1539991179,101.841086717,3.47224852178,68.2876554727,40.9795
99.431,0.836277,37.1029,91,53.1593,217.449133019,-13.6590751583,456.343094251,164.321638882,99.3303,47.499077797,99.4318256055,76.0454928207,91,-102.703,99.3533463216,66.9415026218,72.4576218582,3.51444816357,80.8771286064,41.1608
100.533,0.838115,38.7666,92,53.4254,269.255427163,-141.403290492,258.293879857,119.278696911,100.425,16.9034084563,100.524168801,61.6808680493,92,-103.817,100.442080909,63.7097812272,96.972798733,3.5789004455,41.1433982908,41.3645
101.365,0.840907,38.9811,93,53.7634,277.963991354,0.00472649971309,500.371690982,111.725051581,101.252,125.313484733,101.360031143,53.8996401899,93,-104.684,101.268039712,-117.06960744,91.5130368106,3.58227271385,69.365859548,41.5764
102.537,0.86668,40.8223,94,54.0854,285.308799395,-35.3229262424,222.562307975,126.003731156,102.42,36.9634270623,102.529651309,63.430387015,94,-105.846,102.433132357,81.4744225434,84.4100640184,3.63243264755,31.7036357734,41.7326
103.79,0.856654,40.9917,95,54.3781,182.67696965,-65.8231625106,257.568897042,111.756024313,103.674,35.8792266482,103.781942756,63.4590191614,95,-107.152,103.69244616,65.3604997884,76.9256447451,3.6691556492,36.8388880501,41.8847
104.896,0.838596,45.7686,96,54.6688,186.613635061,-3.73035825268,631.025076072,198.955137434,104.784,70.1542643244,104.881482293,88.1625998716,96,-108.278,104.797693188,-28.8676640872,68.3540808246,3.78713580267,78.4523529425,42.0831
105.694,0.806751,45.9396,97,54.9378,211.697602035,-4.04032205711,696.850070136,211.624891368,105.572,70.1822827092,105.6721333,75.8811501814,97,-109.02,105.589734723,64.375441943,78.567736127,3.78543153663,130.959430073,42.2503
106.961,0.788502,44.7228,98,55.218,374.611296984,-3.35545871258,431.912499201,171.656940935,106.85,146.073566678,106.950859816,73.0843186448,98,-110.2,106.86917635,-119.635412434,150.152633139,3.79664733722,85.5950973924,42.4372
107.447,0.829141,45.8899,99,55.5232,229.802273656,60.1703812873,447.726076898,155.465898573,107.324,102.004475781,107.42711884,59.1801055098,99,-110.706,107.340985521,-78.7894274728,49.5023245063,3.85456551262,97.8730897261,42.6076
108.406,0.844454,45.3158,100,55.8012,328.07903985,-19.9954016788,942.822678336,311.71195606,108.278,79.1075362538,108.383735308,86.9905607954,100,-111.652,108.293416915,137.228722595,98.268408263,3.87065722949,158.681644842,42.7632
109.299,0.846003,42.9666,101,56.1051,198.553921565,0.169929914821,386.171058211,168.113265795,109.175,75.6855489926,109.278071709,74.2935762677,101,-112.594,109.193166243,68.0309843105,73.3155064406,3.83551284759,84.825192617,42.9592
110.758,0.825634,44.3209,102,56.3962,245.132154634,-41.1247445617,428.915280305,126.224916305,110.65,152.081187493,110.739769351,50.1662434238,102,-114.036,110.663422069,-73.3157885176,91.1785418334,3.8644749683,86.0589983988,43.1368
111.173,0.800591,48.631,103,56.6862,348.329550304,-10.6552902106,309.799597632,143.976322462,111.051,77.5426118271,111.152697105,51.0227873968,103,-114.505,111.072276763,-117.138892103,109.409167964,3.97584738221,84.3826865657,43.2653
112.205,0.855732,49.8737,104,56.9784,150.386876404,-160.384134166,924.279824576,222.444428931,112.079,26.1272293995,112.183520266,50.9671964941,104,-115.504,112.096965917,-35.8846329367,93.0219254033,4.00646297239,153.133960348,43.4218
112.935,0.8441,53.164,105,57.3176,402.219764729,-18.2349025587,457.701466264,162.221767757,112.814,68.0413541762,112.916781771,65.8852151028,105,-116.288,112.831355555,5.96333633008,119.243023058,4.0922179797,83.5709005883,43.5996
114.304,0.793331,53.9593,106,57.6011,210.965894889,-20.0799117172,428.799063927,166.317819945,114.182,73.8605459861,114.283769983,57.2324528504,106,-117.578,114.195430993,-338.791053978,92.3892585425,4.13660132573,137.545991276,43.7192
114.838,0.865616,54.4616,107,57.8305,190.858496154,2.83957683287,517.146600207,208.661307928,114.711,91.1286345067,114.807597167,86.279866509,107,-118.122,114.727865579,54.5786627476,60.196709684,4.17088214164,122.583342645,43.901
115.665,0.867049,57.9654,108,58.1469,380.004837112,-26.8606900378,402.601332527,168.600581517,115.529,82.692063281,115.639366968,77.6880054634,108,-119.013,115.554870846,-73.2330070138,110.04167372,4.28793155707,79.1173059021,44.0386
116.42,0.854726,55.7175,109,58.3984,319.946261023,14.5103110621,869.283336271,222.0372315,116.301,130.750210517,116.398586059,94.9184656907,109,-119.891,116.31798456,65.670460529,99.4281823585,4.24705218051,130.595331983,44.1979
117.555,0.871572,53.8526,110,58.6173,220.670558093,12.686763058,345.765993545,126.946950555,117.436,92.4494852876,117.533710671,71.9688595347,110,-120.918,117.45425957,63.5220761007,68.2154123418,4.22941161841,64.4561528611,44.3905
118.377,0.871778,58.5437,111,58.8933,504.786527706,0.360226210669,505.721926244,144.871577973,118.234,234.286679467,118.351605172,77.3573472468,111,-121.776,118.253049307,67.8852030209,183.553007966,4.338710723,85.2694625564,44.5233
119.607,0.845883,55.412,112,59.1461,360.225686317,-1.56687270996,387.847972067,176.298597682,119.486,114.463708506,119.59246829,68.4882289591,112,-123.052,119.509011512,59.5156112209,106.328683955,4.33201801374,88.4615703149,44.6453
120.556,0.80437,62.6345,113,59.4348,229.354021745,-0.2067937123,312.313714082,137.980852559,120.418,86.066233165,120.53212594,73.9603587178,113,-123.996,120.438548709,72.8374896849,82.3455743291,4.41964006176,49.9064331456,44.755
121.344,0.829119,61.7329,114,59.735,352.732127799,-13.0521312818,472.387719024,168.066957952,121.207,173.69338214,121.316357428,66.7054965872,114,-124.777,121.225776684,-139.018830169,116.423320576,4.42533240563,101.933086588,44.8941
122.414,0.842393,59.7122,115,59.9567,202.601386616,-71.1497073894,452.117011401,165.96792068,122.291,101.865003977,122.400077213,75.7016445332,115,-125.881,122.308685638,65.4727812421,88.5404174351,4.42856447287,92.464213099,45.0858
123.335,0.814428,59.9536,116,60.2594,286.140192967,-48.9419143306,483.746618016,216.710424819,123.19,107.151933649,123.309826747,65.5275381917,116,-126.789,123.211954614,-76.5609735036,105.89039067,4.46837777348,141.755709057,45.2522
124.04,0.807038,61.4896,117,60.5599,308.03267916,-121.430846187,374.166267694,126.324132492,123.904,64.1627509223,124.022087186,57.978038854,117,-127.484,123.925778315,-87.5540677055,119.734026731,4.48063600675,87.9297526922,45.3802
124.84,0.810956,66.6536,118,60.8182,362.003980032,-2.64011705171,964.662776931,147.104817935,124.689,145.929238721,124.80676034,64.4710321691,118,-128.247,124.700792098,-134.273168185,135.36743276,4.58731233952,132.730699658,45.5347
126.078,0.836631,65.8254,119,61.0874,287.506476213,-1.29830227292,380.200817119,147.547581077,125.933,131.55494386,126.056097608,70.7765360816,119,-129.526,125.955758132,71.2605833072,106.878767239,4.59692493007,73.8828621251,45.6849
126.816,0.873828,62.9902,120,61.3351,461.797304462,3.04721716452,345.158663918,161.422432091,126.659,156.348019575,126.788999432,95.8790007091,120,-130.354,126.677229032,88.7505736294,158.238337124,4.59146685441,77.2338568652,45.8524
127.997,0.861602,61.8397,121,61.5592,342.914407351,-1.99234188359,543.639297459,207.20301124,127.835,130.702249726,127.968262636,101.570901985,121,-131.484,127.854342834,80.9205444242,106.763793514,4.57666293515,86.126653408,46.0218
129.059,0.84289,67.428,122,61.8278,271.87089622,-38.7557755149,485.861862596,201.662910986,128.906,116.750469875,129.03099918,80.9600751921,122,-132.516,128.923782597,65.5861836992,106.351553227,4.68756954698,104.033794542,46.1605
130.036,0.844976,65.3133,123,62.0418,239.18197913,1.40126886456,465.834119826,183.039714864,129.867,91.7357682833,130.015185085,86.0093035234,123,-133.521,129.899127064,73.7400677402,88.1604701999,4.64898491843,94.9041783579,46.2988
