AverageEsReturn,StdEsReturn,AverageQLoss,AverageAbsY,Iteration,AveragePolicySurr,MaxReturn,MinEsReturn,MaxEsReturn,PolicyRegParamNorm,Epoch,AverageAbsQYDiff,QFunRegParamNorm,AverageAction,AverageDiscountedReturn,AverageReturn,MinReturn,AverageY,AverageAbsQ,AverageQ,StdReturn
28.2353481937,38.6412895066,9.73707e-05,0.0442961072806,27,-0.045622,-55.2431054116,-10.4059413129,66.8766377003,17.9544,27,0.00217280829579,15.2406,0.55425,-5.39332146764,-55.3696110263,-55.4770205545,0.0442953127931,0.0442997,0.0442987,0.0883416996201
-28.2237303091,0.0,8.1862e-05,0.0457653415546,28,-0.047292,-17.7952172973,-28.2237303091,-28.2237303091,18.2623,28,0.00223918446828,15.5753,0.178153,-1.73390904628,-17.7974783006,-17.8025960796,0.0457647845823,0.0457427,0.0457424,0.00206284928814
-47.5198884574,9.786639677,0.000130911,0.0467599684122,29,-0.0485184,-41.4797315884,-57.3065281344,-37.7332487804,18.6272,29,0.0024405549405,15.875,0.415681,-4.07172413034,-41.5265193691,-41.5628821077,0.0467592791623,0.0467519,0.0467519,0.0294566378094
52.5746365925,38.6361680439,0.000110458,0.0485556600454,30,-0.0503046,-39.8809006239,-0.126528189386,91.4180427094,18.9406,30,0.00245513765437,16.1589,0.399941,-3.90035591983,-39.9541329924,-40.0139865625,0.0485549644788,0.0485469,0.0485468,0.0426855976066
-13.9887419177,0.0,4.96038e-05,0.0497542484869,31,-0.0515153,-38.8312998957,-13.9887419177,-13.9887419177,19.2861,31,0.00202486751893,16.5704,0.389261,-3.85608682625,-38.8871636255,-38.9962969133,0.0497536260639,0.0497476,0.0497476,0.0514193467885
37.954962121,59.2782846237,0.000191855,0.0494874242196,32,-0.051301,-84.3906218009,-45.7070403014,84.4092256978,19.7566,32,0.00278765690373,16.8031,0.848611,-8.16851291629,-84.7762490262,-85.2850352236,0.0494865884454,0.0494836,0.0494743,0.249706996557
-21.6101136112,0.0,2.59406e-05,0.0486179443774,33,-0.0506417,-98.0748554834,-21.6101136112,-21.6101136112,19.8276,33,0.00169884163726,17.0729,0.985055,-9.81643060357,-98.4069613016,-98.7198737647,0.0486173841015,0.0486145,0.0486145,0.209533600247
-71.390033157,1.82263475374,7.17588e-05,0.0497666672191,34,-0.0518727,-98.9067733497,-73.2126679107,-69.5673984033,20.0177,34,0.00275147656711,17.396,0.991853,-9.90167712292,-99.0861545733,-99.2645004486,0.0497661746388,0.0497582,0.0497582,0.106709012022
24.8713764174,25.0713764174,0.000107155,0.0512800416159,35,-0.0535539,-99.4678598982,-0.2,49.9427528349,20.1784,35,0.00237311791636,17.7163,0.996538,-9.95946584618,-99.5540981717,-99.6105067116,0.0512791130514,0.0512862,0.0512862,0.0454656462577
33.8675985112,43.3954796725,9.0908e-05,0.0516808255075,36,-0.0541555,88.0217687014,-25.5010244026,77.0158040557,20.3554,36,0.00242712190674,17.9735,0.996185,-6.9431805651,-70.0678483117,-99.6792174638,0.0516797203201,0.0516728,0.0516725,66.176349187
57.3874377032,35.2364641506,6.75681e-05,0.0567654645245,37,-0.0595204,89.6855171485,-1.05918659849,91.6340566162,20.671,37,0.0026215243181,18.215,0.995202,-0.260380097714,-38.5136235419,-99.611494964,0.0567647285501,0.0567637,0.0567637,86.5351288715
74.9562826485,33.5286485739,8.45796e-05,0.0594125255667,38,-0.0627039,89.2828898934,-5.80432884357,94.032695317,20.9218,38,0.00255055942173,18.4844,0.995089,4.38459857543,-8.71026228327,-99.6698780842,0.0594116395017,0.0594196,0.0594108,91.3834208576
64.9144083009,39.0480729575,6.4414e-05,0.0661390768781,39,-0.0699629,90.9970376096,-2.35118035532,93.7006792726,20.9578,39,0.00291706209434,18.8258,0.977393,32.4603839468,90.616100272,88.9810906198,0.0661383442871,0.0661417,0.0661385,0.397182642403
87.0734389058,8.02841992767,2.93033e-05,0.0716369477456,40,-0.0761467,90.697182179,71.5324170629,95.1500986836,20.8088,40,0.00257243541036,19.1203,0.993459,16.9001239169,35.0826351276,-99.7793063073,0.0716359916614,0.0716317,0.0716316,82.2528311048
81.0836493,29.0561158967,0.000168855,0.0776143870411,41,-0.0828737,93.073893847,-0.892325196973,93.2569620299,20.8374,41,0.00434216775677,19.5306,0.977012,44.3334282134,93.0327272216,92.8719891816,0.0776135401247,0.0776995,0.0776164,0.0426949748274
92.5907162618,1.87321290486,0.000187341,0.0911551075266,42,-0.0974971,93.7878440489,87.8627713577,94.9548757849,20.7112,42,0.00442628144446,19.8104,0.941388,38.5237760883,92.0804753831,90.8745547806,0.0911541711167,0.0911656,0.0911629,1.26793090763
92.6349192533,1.66182589744,0.000183187,0.0995968053733,43,-0.106972,94.360332397,89.8888741568,95.2313875694,20.6766,43,0.0040016528776,20.0938,0.818905,37.6829345002,92.788611264,86.9594154826,0.099596076136,0.0995975,0.0995948,1.24281968478
92.6721710029,1.27408636692,0.000197319,0.111901602004,44,-0.120732,88.620435632,90.4970771236,94.3171013592,20.8862,44,0.004157738182,20.3873,0.609918,3.94170170428,49.5283051369,-50.7241691383,0.111900755501,0.111903,0.111899,57.928428118
51.6261811813,38.5595043456,0.000181884,0.120454027309,45,-0.13034,89.7184743629,-1.60550240069,88.4911185586,20.9562,45,0.00400993940143,20.7346,0.57504,12.1223993822,69.141637966,-38.731618992,0.120452089194,0.120453,0.12044,44.1174111759
86.591809756,3.77449572796,0.000227022,0.132811623085,46,-0.144129,-8.19585228448,79.3784514661,90.258156928,21.1669,46,0.00460749409126,21.0317,0.083743,-0.837586411113,-8.36592429942,-8.44375293177,0.132805803727,0.132837,0.132792,0.0718953366604
73.2764932116,34.0388149843,0.000428825,0.141423565959,47,-0.155205,91.8584747683,-1.99388656222,93.8874818157,21.313,47,0.00593271906424,21.3225,0.833185,31.2310646232,91.4904612323,83.3919723749,0.141402876526,0.141501,0.141419,0.901954858715
90.9957067067,4.11390796355,0.000253972,0.158949411884,48,-0.173751,93.6443738244,86.4540057506,99.6776425586,21.4966,48,0.0051299792895,21.6591,0.191696,4.59474905308,82.0449155486,-9.73079906825,0.158881144673,0.159008,0.158851,28.258196916
92.9687160133,1.34186449188,0.000396503,0.175266332284,49,-0.190489,-0.762798780388,90.4193630015,94.2238611571,21.745,49,0.00589630331792,21.9888,0.00859369,-0.0823730276464,-0.858509607649,-0.91751775777,0.175144414149,0.175385,0.175138,0.0509252169866
72.5891236586,39.3854647171,0.00037823,0.193712543994,50,-0.210083,94.4650830694,-15.4666022021,91.2442249381,21.888,50,0.00654816438472,22.3511,0.352034,29.2764231018,79.5533769768,-14.2447570113,0.19355822361,0.193783,0.193522,34.6190059724
90.6768961918,2.65145723065,0.000503207,0.211667274745,51,-0.227744,94.3071863675,85.2380582575,93.42931571,22.1556,51,0.00670440795349,22.6896,0.284815,25.9826007399,63.775880389,-17.3247173613,0.211463770112,0.211743,0.211415,48.9136861874
92.0539166648,3.09503130786,0.000828469,0.225414982487,52,-0.241886,94.1167455176,89.6822487888,99.3637434921,22.3396,52,0.00848287735499,23.0528,0.878289,44.9087249068,93.7196039552,93.0682350143,0.225240507522,0.225432,0.225157,0.280967640074
93.3263813536,2.75198386489,0.0009023,0.246923319485,53,-0.263314,91.5246576507,89.2284002191,97.1820350276,22.3674,53,0.00863881064452,23.4015,0.133983,7.29697899649,42.1940222656,-5.63913137832,0.246781968119,0.246923,0.246689,47.8252876228
81.038781424,32.2262879765,0.0010755,0.265190884073,54,-0.282147,94.0860111448,-9.92571183493,94.7823123198,22.5486,54,0.0101179768123,23.7212,0.914009,46.7629997731,93.816853231,93.4871287649,0.265039454207,0.265124,0.264906,0.168718926516
93.4845647938,1.59067713338,0.00141522,0.284595290011,55,-0.300557,94.3427453367,91.2490102861,95.7380267756,22.6951,55,0.01152933771,24.0255,0.877938,45.8937895463,93.8855298238,93.3509907866,0.284350194831,0.284571,0.284274,0.296694399489
92.5870791423,1.53646678431,0.00129269,0.305738367852,56,-0.321856,92.0178020452,89.1335775811,94.4550062557,22.847,56,0.0110099022665,24.3509,0.939695,31.9078748961,90.7458463234,87.134483016,0.305513386572,0.305717,0.305512,1.00820439757
92.8181669076,2.83394854491,0.00102773,0.315473082824,57,-0.330066,93.7918104572,88.9965689218,99.9570072872,22.8834,57,0.0101838848325,24.6196,0.942937,45.5883669494,93.4446217008,92.3073576558,0.315232341025,0.315491,0.315205,0.348495342638
93.3464747065,2.69591115866,0.000830976,0.328723969661,58,-0.34165,93.5068322075,89.8951835235,99.8201315628,22.9415,58,0.00910786448273,24.8607,0.964101,37.7284921052,91.6165152143,84.7645839802,0.328499720941,0.328769,0.328469,2.17183049423
92.1588674135,1.60505575603,0.000798484,0.344566339294,59,-0.357155,93.4270524601,89.720630748,93.9318832616,23.0154,59,0.00924073876976,24.9738,0.973264,37.8199594927,91.6424053016,84.2064389778,0.344319887479,0.344653,0.344304,1.79627708415
93.0641480409,2.89324679398,0.000452752,0.361936230063,60,-0.373119,93.53632723,86.9910080249,99.2267730817,23.0565,60,0.00726187511445,25.1658,0.970569,43.1225657124,92.7279771612,83.6547607074,0.361670441294,0.362042,0.361669,1.60223276779
91.8032742486,2.4245520404,0.000735953,0.36962598924,61,-0.380078,93.5207643793,86.4602907161,94.2583790569,23.1788,61,0.00995323452607,25.3885,0.975148,38.767058396,91.7710656357,85.8920079407,0.369387748102,0.369645,0.369342,2.03631690062
92.5441706824,2.33435509254,0.000831005,0.378848897612,62,-0.388531,93.5867326666,89.2769754165,97.5226137962,23.2725,62,0.00896193632281,25.608,0.979533,43.6690083011,92.8288210411,87.7033631064,0.378683893916,0.37893,0.378658,1.06249365736
91.9776659655,2.79924656629,0.000615728,0.393954920722,63,-0.40245,93.6132336882,87.4276541573,96.3395249341,23.3165,63,0.00826574691663,25.8954,0.9823,46.4749647815,93.3744173992,92.8096567928,0.393817520425,0.394106,0.393809,0.202969249209
92.3694521625,1.9613741114,0.000609991,0.400752015418,64,-0.408603,93.611377343,90.1333891486,95.3698874117,23.3825,64,0.00826400265302,26.2059,0.980163,45.9019762647,93.2805136693,91.7597234202,0.400605668608,0.400803,0.400553,0.368929484924
92.9071879848,2.06976766995,0.000645682,0.404577893504,65,-0.411772,93.5157993009,89.4983519138,97.2725253462,23.5391,65,0.00940114230077,26.4388,0.985043,47.0904475601,93.4687079764,93.4015591035,0.404440804508,0.40471,0.404411,0.0309045694463
93.8325725968,2.51638698218,0.00084424,0.415504396253,66,-0.423153,93.3083414864,89.4980860717,99.2590922301,23.7244,66,0.0101082258426,26.6833,0.989015,46.0280159185,93.2612450936,93.1750443816,0.415370461478,0.41569,0.415351,0.0356878832779
93.2588810457,1.40136499269,0.000662154,0.420493883629,67,-0.42802,93.2120386954,90.486818992,95.1768416293,23.955,67,0.00996753362336,26.9404,0.988409,45.481590145,93.1683914647,93.0724426358,0.420349097136,0.420687,0.420321,0.0347612059571
93.5951761662,2.20125204938,0.000756483,0.428836262594,68,-0.437154,92.8339698215,89.4433768504,97.6744970464,24.2471,68,0.0102334052502,27.1826,0.984969,43.0587407997,92.7503382373,92.4074057544,0.428693130609,0.429012,0.428642,0.107214800827
93.8472909604,0.915696648747,0.00059651,0.44355278292,69,-0.452327,92.9659892954,91.4386982709,95.0963038007,24.4419,69,0.00987769119976,27.403,0.985604,43.0903005112,92.7514636918,92.3980777166,0.443427440568,0.443625,0.443397,0.15963651219
93.6673090749,2.02156180768,0.000537217,0.450136928269,70,-0.45885,92.4034336044,90.331614861,98.4397469172,24.5264,70,0.00967829555594,27.6365,0.987592,40.25036851,92.1980267148,91.6904456095,0.450032482709,0.450198,0.450002,0.156811003912
92.9329833315,1.96044619086,0.000722926,0.460246226706,71,-0.469234,92.5250067115,89.8622019059,95.2030985381,24.5949,71,0.0104169782382,27.8868,0.98627,41.0924638376,92.3700618338,91.9042969069,0.460131757462,0.460345,0.460088,0.172078032969
93.4604429874,1.4707301944,0.000630389,0.472404329879,72,-0.481719,92.4111737849,90.106296335,94.8238568167,24.6741,72,0.0103515105684,28.1407,0.986464,39.0702153663,91.971142315,91.3122655009,0.472294718615,0.472478,0.472274,0.212696345804
94.071229645,1.69761509962,0.000551193,0.485029644103,73,-0.494641,91.6193964458,91.987133621,98.8916610625,24.7899,73,0.00984246619597,28.4182,0.987377,36.2430141972,91.3797678304,90.4880689061,0.484930193778,0.48509,0.484904,0.263074171236
92.9134268568,1.75461036346,0.000770569,0.492372403773,74,-0.502237,91.7296994621,90.0350655211,95.7407361174,24.9362,74,0.010902132679,28.6642,0.988241,36.7600942359,91.4817012721,90.5831304682,0.492267851596,0.492455,0.492259,0.298966323957
92.0143037431,2.33843492991,0.000569599,0.502168715704,75,-0.512505,91.3219903176,87.81028479,94.9307448204,25.0831,75,0.00982447479452,28.8859,0.989083,34.9383682143,91.0839972006,90.0656558862,0.502075958977,0.502198,0.502023,0.292032870461
92.3715474698,2.84116599179,0.000609851,0.512189156169,76,-0.52371,91.4274108732,86.3481097952,96.8543510761,25.2114,76,0.0108353683149,29.1424,0.988932,35.2094843054,91.1437622725,90.2655083201,0.512106642405,0.512241,0.512082,0.31684572065
92.4266823295,2.23844355668,0.000540736,0.522531826789,77,-0.534028,91.3213423103,88.6285424535,96.2075532326,25.3805,77,0.0107619781369,29.3621,0.989967,34.5980421051,91.0002978521,89.9736440677,0.522471454743,0.522543,0.522425,0.348421606906
93.8120336633,0.833374448314,0.000533163,0.534277892522,78,-0.546282,91.8271796034,92.3942102477,95.3022756021,25.497,78,0.0104701310785,29.5911,0.989114,36.3866387153,91.3921253779,90.0935334659,0.534247693996,0.534342,0.534242,0.418892752993
92.1950297033,3.31320409106,0.000470303,0.545926769979,79,-0.558382,92.0348552076,87.518902495,98.6939450944,25.6623,79,0.010471725252,29.8705,0.989302,36.1824522429,91.3431805486,90.1617655719,0.545914649837,0.545939,0.545876,0.510645434978
91.5059799117,4.49426552564,0.000353433,0.55793548374,80,-0.570796,92.5303061564,84.1890160498,98.9825014885,25.8664,80,0.00962317479304,30.1158,0.987901,37.6400732192,91.6576341125,90.2842143983,0.557932481926,0.557956,0.557916,0.547623111802
93.3114293053,0.940963455872,0.000633558,0.570118342634,81,-0.583026,92.4405650739,91.7107381478,94.7855532286,26.0107,81,0.0114599315463,30.3732,0.988158,37.6125933434,91.6454957783,90.3685810434,0.570117778592,0.570083,0.570069,0.633641445593
92.9202272517,2.76774729172,0.000589054,0.584269261901,82,-0.597474,92.4470813109,87.4282700176,98.5686596179,26.1706,82,0.0110963259009,30.6742,0.988507,37.4512217972,91.6110914259,90.453108169,0.584269136553,0.584245,0.584237,0.610410409709
93.7426290172,1.29825215435,0.000676252,0.592217042143,83,-0.605388,92.8606445802,89.7901728322,95.2068959454,26.3016,83,0.0114146545318,30.9575,0.985734,39.9787149358,92.1430755826,90.8894288818,0.592216388271,0.592175,0.592171,0.577096410398
94.2612417547,1.48370708983,0.000606836,0.604855288473,84,-0.618028,93.1667757642,92.4149922298,98.5874871423,26.3693,84,0.0113078003015,31.3171,0.983634,42.386118956,92.61907671,91.3154477529,0.604854724547,0.604831,0.604831,0.558524540306
93.7153430233,2.73048813445,0.000656197,0.61705107191,85,-0.630082,92.9333819268,89.2240443943,99.9070475258,26.4883,85,0.0119991798012,31.6434,0.985962,39.9490726547,92.1349984405,90.8783044977,0.617050522877,0.616995,0.616995,0.583943842505
93.3737976061,1.15849303871,0.000523603,0.625019547283,86,-0.637879,93.14995706,90.8037255739,94.6346427178,26.585,86,0.0111808673865,31.9726,0.986213,43.9314612042,92.8978486525,91.9046494862,0.625019376571,0.624988,0.624988,0.335161344391
93.4528711552,1.71988864834,0.000592512,0.635364808133,87,-0.647681,93.3012647817,90.3762075134,95.2640174499,26.6393,87,0.0119159357177,32.3302,0.989028,45.756082856,93.2129663889,93.0074638883,0.635364441281,0.635319,0.635319,0.0772391193009
94.0072504578,1.5780582896,0.000474191,0.648115216553,88,-0.660081,93.3891706349,91.2078724978,98.2131586069,26.6962,88,0.0109495043357,32.6663,0.991882,46.4244910864,93.3137862237,93.1913772296,0.648114800395,0.648088,0.648088,0.0420478417897
93.4775945248,1.42175358178,0.000684891,0.654969760031,89,-0.666487,93.3752445758,90.2123081065,94.8461257495,26.7979,89,0.0124783857589,33.0332,0.990555,46.2999366418,93.2996960619,93.1685013309,0.654969037617,0.654907,0.654907,0.0590188518403
93.9530671292,0.764725721419,0.000520806,0.663426294855,90,-0.674381,93.4013888646,92.2018250701,94.8348580941,26.8773,90,0.0115812147904,33.3943,0.990289,46.1613606129,93.2767414425,93.0836401161,0.663425950304,0.663398,0.663398,0.0848744818173
93.9221169018,2.51840198743,0.000636869,0.669453577967,91,-0.680296,93.400606851,89.0632010114,99.2380581146,26.9305,91,0.0117616947449,33.7653,0.989431,46.3481616465,93.3146570954,93.1040828469,0.669453207254,0.669434,0.669434,0.0748026782219
93.3789323717,2.13951221194,0.000554192,0.675150932109,92,-0.686113,93.5904788697,90.038509381,97.8323267643,27.1231,92,0.0111762312023,34.1264,0.985287,47.2418259762,93.4932170295,93.3995738393,0.675150577869,0.675135,0.675135,0.0614147019119
93.5309479017,2.96607097538,0.000522369,0.680782662689,93,-0.691883,93.5203192164,87.0764409595,98.3889268884,27.3654,93,0.0114703119394,34.5249,0.982969,46.8680187191,93.4422838296,93.3219202011,0.680782112159,0.68077,0.68077,0.0657113374938
93.1293974131,1.47723979192,0.000589395,0.689628803897,94,-0.699726,93.5832150809,90.9104750266,94.800136358,27.4693,94,0.0111077890229,34.8638,0.981135,46.9675332099,93.4699278517,93.3024720967,0.689628328056,0.68959,0.68959,0.0569012387189
92.9519458021,3.13578111756,0.000545257,0.691566820373,95,-0.700751,93.6052473125,88.7434325836,99.8466287365,27.5818,95,0.0111957774208,35.126,0.980919,47.1983627814,93.5104441886,93.3912717168,0.691566479541,0.691526,0.691526,0.064277692785
93.6768618669,2.63548298967,0.000471725,0.697254115009,96,-0.70604,93.6022757424,89.6615954528,99.0925793652,27.6851,96,0.0105563917235,35.3853,0.980361,47.1392905269,93.5036464438,93.378739501,0.697253783579,0.697246,0.697246,0.0664712122329
94.4320405857,0.901634500195,0.00061966,0.69997051723,97,-0.707853,93.5942019461,91.73724377,95.8149582288,27.7736,97,0.0114102428277,35.6635,0.978735,46.9095781045,93.4737950572,93.3786604605,0.699969948216,0.69994,0.69994,0.0553250961243
93.8864178449,2.03169333254,0.000459095,0.702757276399,98,-0.709592,93.5915187195,90.7564000426,98.7475152494,27.8583,98,0.0102829113744,35.9051,0.979129,47.0733532587,93.4994919669,93.39096534,0.702756802584,0.702723,0.702723,0.0561713112885
93.9270572448,1.7796361324,0.000554389,0.706306241503,99,-0.712355,93.6084203103,89.6888796232,95.2107697731,27.9784,99,0.0105757961485,36.1466,0.978898,47.0443061625,93.4958405162,93.3823761768,0.706305779117,0.706316,0.706316,0.0618129450252
93.3688213839,1.98724826002,0.000553543,0.706444064133,100,-0.711785,93.5989812719,89.6393412574,95.3206063427,28.1017,100,0.0105146013946,36.3649,0.981457,46.9546095348,93.4658333116,93.3467909896,0.706443544485,0.706397,0.706397,0.0679386521142
92.6756674575,3.31157680124,0.000364127,0.706776403652,101,-0.711857,93.6872794177,84.6579909711,95.0444253177,28.2628,101,0.0093434578499,36.5462,0.98196,46.9797934753,93.4670397298,93.2950913353,0.706776257202,0.706779,0.706779,0.113957469054
92.2184581594,1.83588513232,0.000503737,0.707596047029,102,-0.711775,93.8137554703,89.8928300595,95.4186019466,28.4256,102,0.0102165069783,36.7167,0.945808,46.3141662345,93.5569228364,93.3363768889,0.707595360846,0.707576,0.707576,0.1191339031
93.3821077058,2.69732939008,0.000397811,0.705309286797,103,-0.710443,93.4922753892,90.2004360326,99.6858303791,28.8557,103,0.00888744251162,36.878,0.880412,25.7395262588,88.0501932291,40.9890706417,0.705308988434,0.705323,0.705323,8.27232244133
91.1705481774,2.71960463793,0.000493355,0.707175383847,104,-0.712897,88.04720709,86.3655551543,94.3517693503,29.1601,104,0.00991741620743,37.0091,0.966724,4.50238335382,17.4357231683,-98.9188882486,0.707174737668,0.707141,0.707141,87.6512595521
68.2509031436,34.9466766111,0.000496354,0.708804956659,105,-0.714556,93.4014142737,-0.4,91.8643936231,29.4363,105,0.00949494151873,37.0868,0.90297,23.9214713116,86.8442211954,39.1660893848,0.70880453415,0.708811,0.708811,10.2125446565
89.0256315072,4.04807568586,0.000504014,0.711337342709,106,-0.717577,89.5275748563,80.6442228965,92.6492431023,29.7474,106,0.00898414139251,37.144,0.965093,7.24060449794,23.6838404226,-99.3370170331,0.711336591741,0.711334,0.711334,87.1697097284
47.9759826695,42.7945571301,0.000559001,0.710963001726,107,-0.717221,-53.1198281955,-12.5149299969,79.864087332,29.9063,107,0.00925187170925,37.1826,0.714693,-8.90176876991,-71.3978691192,-99.7373018177,0.710962345194,0.71094,0.71094,21.5389020425
-22.4684119192,0.0,0.000451733,0.713035953735,108,-0.719924,-81.9557477387,-22.4684119192,-22.4684119192,30.1156,108,0.00912906641939,37.2411,0.885609,-9.31094584879,-88.4723325481,-99.6956470149,0.713035624352,0.713041,0.713041,8.46014128017
-62.1592476541,1.82896742494,0.000495692,0.715245619025,109,-0.722467,-89.6217775269,-63.988215079,-60.3302802291,30.2892,109,0.00899274828299,37.2823,0.944821,-9.63148346749,-94.387566588,-99.8323343114,0.715245095691,0.715205,0.715205,4.94141296712
-0.035762440196,0.0,0.000508898,0.718676718948,110,-0.725494,-40.3521047926,-0.035762440196,-0.035762440196,30.5306,110,0.00942303758848,37.3019,0.745319,-9.49273684834,-74.4573456834,-99.8610239419,0.718675929325,0.718657,0.718657,25.5927296658
-63.5770828529,0.86596917421,0.000429042,0.717947795565,111,-0.725364,81.2675123482,-64.4430520271,-62.7111136787,30.8328,111,0.00851947642656,37.3344,0.920443,-6.79293471369,4.92057421182,-99.8829015749,0.717947224009,0.717937,0.717937,81.985793412
99.8363846308,0.0,0.000280913,0.720921330243,112,-0.728059,-40.2874648439,99.8363846308,99.8363846308,31.0265,112,0.0078890337269,37.3834,0.513861,-8.50237729762,-51.3347302672,-99.8933217657,0.720921110076,0.720901,0.720901,22.8865199577
-3.05493312463,60.3056858742,0.000494385,0.722626989763,113,-0.729306,-33.3581352661,-63.3606189988,57.2507527496,31.2162,113,0.00903430248385,37.4357,0.595971,-9.02589716236,-59.5375236511,-99.8963103656,0.722626608952,0.7226,0.7226,29.3698033712
